row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu/nộp trong nămVND,Số đã thực thu/nộp trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu/nộp trong nămVND,numeric__Số đã thực thu/nộp trong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,3.152.818.774,3152818774.0,,,3152818774.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.684.975.381,3.756.286.972,1.684.975.381,3.756.286.972,1684975381.0,3756286972.0,1684975381.0,3756286972.0
,,,4.837.794.155,3.756.286.972,1.684.975.381,6.909.105.746,4837794155.0,3756286972.0,1684975381.0,6909105746.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.069.709.991,40.315.844.020,38.709.651.786,4.675.902.225,3069709991.0,40315844020.0,38709651786.0,4675902225.0
- Thuế GTGT hàng bán nội địa,b. Các khoản phải trả > - Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,3.069.709.991,27.897.181.165,26.290.988.931,4.675.902.225,3069709991.0,27897181165.0,26290988931.0,4675902225.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,12.418.662.855,12.418.662.855,-,,12418662855.0,12418662855.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,29.893.588.765,29.531.740.075,361.848.690,,29893588765.0,29531740075.0,361848690.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,60.641.938.317,166.619.580.888,178.220.066.598,49.041.452.607,60641938317.0,166619580888.0,178220066598.0,49041452607.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.857.307.558,36.825.885.874,34.523.690.757,4.159.502.675,1857307558.0,36825885874.0,34523690757.0,4159502675.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,242.223.360,3.736.560.000,3.652.950.120,325.833.240,242223360.0,3736560000.0,3652950120.0,325833240.0
Thuế bảo vệ môi trường và các loại thuế khác,b. Các khoản phải trả > Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,477.445.800,154.136.849.625,154.364.917.175,249.378.250,477445800.0,154136849625.0,154364917175.0,249378250.0
- Thuế bảo vệ môi trường,b. Các khoản phải trả > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,477.445.800,1.026.647.350,1.254.714.900,249.378.250,477445800.0,1026647350.0,1254714900.0,249378250.0
- Thuế môn bài,b. Các khoản phải trả > - Thuế môn bài,- Thuế môn bài,-,18.000.000,18.000.000,-,,18000000.0,18000000.0,
- Thuế nhà thầu nước ngoài,b. Các khoản phải trả > - Thuế nhà thầu nước ngoài,- Thuế nhà thầu nước ngoài,-,220.922.134,220.922.134,-,,220922134.0,220922134.0,
- Các loại thuế khác,b. Các khoản phải trả > - Các loại thuế khác,- Các loại thuế khác,-,152.871.280.141,152.871.280.141,-,,152871280141.0,152871280141.0,
,,,66.288.625.026,431.528.309.172,439.003.016.511,58.813.917.687,66288625026.0,431528309172.0,439003016511.0,58813917687.0
