row_label_raw,row_label_full,col_0,col_1,31/12/2018VND,31/12/2018VND_1,01/01/2018VND,numeric__col_1,numeric__31/12/2018VND,numeric__31/12/2018VND_1,numeric__01/01/2018VND
Vàng tiền tệ,Vàng tiền tệ,Vàng tiền tệ,Vàng tiền tệ,Vàng tiền tệ,Vàng tiền tệ,Vàng tiền tệ,,,,
+ Vàng miếng SJC,Vàng tiền tệ > + Vàng miếng SJC,+ Vàng miếng SJC,4 miếng,14.560.000,4 miếng,14.468.000,,14560000.0,,14468000.0
+ Vàng nhân SJC,Vàng tiền tệ > + Vàng nhân SJC,+ Vàng nhân SJC,12 nhân,43.524.000,12 nhân,41.700.000,,43524000.0,,41700000.0
Cộng,Vàng tiền tệ > Cộng,Cộng,Cộng,58.084.000,58.084.000,56.168.000,,58084000.0,58084000.0,56168000.0
