row_label_raw,row_label_full,col_0,Đầu năm,Tăng trong năm,Giảm trong năm,Cuối năm,numeric__Đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Cuối năm
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.335.668.155.538,5.817.198.983.792,5.425.683.064.453,1.727.184.074.877,1335668155538.0,5817198983792.0,5425683064453.0,1727184074877.0
- Ngân hàng Đầu tư và PT Quảng Ngãi,- Ngân hàng Đầu tư và PT Quảng Ngãi,- Ngân hàng Đầu tư và PT Quảng Ngãi,259.230.606.436,1.518.381.882.147,1.204.979.620.894,572.632.867.689,259230606436.0,1518381882147.0,1204979620894.0,572632867689.0
- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,685.158.626.032,2.217.837.485.229,2.219.524.164.375,683.471.946.886,685158626032.0,2217837485229.0,2219524164375.0,683471946886.0
- Ngân hàng Ngoại Thương Quảng Ngãi,- Ngân hàng Ngoại Thương Quảng Ngãi,- Ngân hàng Ngoại Thương Quảng Ngãi,371.914.904.033,1.912.768.278.253,1.843.431.334.242,441.251.848.044,371914904033.0,1912768278253.0,1843431334242.0,441251848044.0
- Ngân hàng Quản Đội Quảng Ngãi,- Ngân hàng Quản Đội Quảng Ngãi,- Ngân hàng Quản Đội Quảng Ngãi,19.364.019.037,168.211.338.163,157.747.944.942,29.827.412.258,19364019037.0,168211338163.0,157747944942.0,29827412258.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,2.607.889.572,-,2.607.889.572,-,2607889572.0,,2607889572.0,
- Ngân hàng Đầu tư và PT Quảng Ngãi,- Ngân hàng Đầu tư và PT Quảng Ngãi,- Ngân hàng Đầu tư và PT Quảng Ngãi,997.675.332,-,997.675.332,-,997675332.0,,997675332.0,
- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,- Ngân hàng Công Thương Quảng Ngãi,993.266.100,-,993.266.100,-,993266100.0,,993266100.0,
- Ngân hàng Nông nghiệp Quảng Ngãi,- Ngân hàng Nông nghiệp Quảng Ngãi,- Ngân hàng Nông nghiệp Quảng Ngãi,616.948.140,-,616.948.140,-,616948140.0,,616948140.0,
Nợ thuê tài chính đến hạn,Nợ thuê tài chính đến hạn,Nợ thuê tài chính đến hạn,65.807.004.043,52.812.190.562,118.619.194.605,-,65807004043.0,52812190562.0,118619194605.0,
- AB Svensk Exportkredit,- AB Svensk Exportkredit,- AB Svensk Exportkredit,65.807.004.043,52.812.190.562,118.619.194.605,-,65807004043.0,52812190562.0,118619194605.0,
Cộng,Cộng,Cộng,1.404.083.049.153,5.870.011.174.354,5.546.910.148.630,1.727.184.074.877,1404083049153.0,5870011174354.0,5546910148630.0,1727184074877.0
