row_label_raw,row_label_full,31/12/2018,Tài sản của bộ phận > Nguyên giá TSCD HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Năm 2018,numeric__Tài sản của bộ phận > Nguyên giá TSCD HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Năm 2018
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.113.369.997.003,(1.432.738.470.915),165.200.495.389,2.035.635.074.686,100.358.695.970,183.217.830.887,3113369997003.0,-1432738470915.0,165200495389.0,2035635074686.0,100358695970.0,183217830887.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,1.911.392.334.995,(1.268.391.512.108),55.180.746.038,1.061.005.226.605,177.682.189.569,165.820.000.000,1911392334995.0,-1268391512108.0,55180746038.0,1061005226605.0,177682189569.0,165820000000.0
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.848.320.176,(2.848.320.176),61.426.759.869,898.258.189.218,34.351.204.036,-,2848320176.0,-2848320176.0,61426759869.0,898258189218.0,34351204036.0,
Họat động SXKD khác,Họat động SXKD khác,Họat động SXKD khác,2.967.897.583.642,(937.123.959.621),247.475.632.080,5.701.787.450.108,2.397.104.195.090,138.277.867.935,2967897583642.0,-937123959621.0,247475632080.0,5701787450108.0,2397104195090.0,138277867935.0
,,,7.995.508.235.816,(3.641.102.262.820),529.283.633.376,9.696.685.940.617,2.709.496.284.665,487.315.698.822,7995508235816.0,-3641102262820.0,529283633376.0,9696685940617.0,2709496284665.0,487315698822.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,-,-,(60.521.913.808),(1.695.002.721.290),(60.521.913.808),-,,,-60521913808.0,-1695002721290.0,-60521913808.0,
Tổng cộng,Tổng cộng,Tổng cộng,7.995.508.235.816,(3.641.102.262.820),468.761.719.568,8.001.683.219.327,2.648.974.370.857,487.315.698.822,7995508235816.0,-3641102262820.0,468761719568.0,8001683219327.0,2648974370857.0,487315698822.0
,,,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,,,,,,,
01/01/2018,01/01/2018,01/01/2018,Nguyên giá TSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Năm 2017,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2018 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,2.941.366.421.984,(1.249.877.545.753),231.050.668.220,2.075.179.578.851,27.098.814.736,159.790.125.605,2941366421984.0,-1249877545753.0,231050668220.0,2075179578851.0,27098814736.0,159790125605.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2018 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,1.269.019.466.481,(792.851.314.030),19.673.938.436,1.108.745.827.696,431.026.803.777,198.000.000.000,1269019466481.0,-792851314030.0,19673938436.0,1108745827696.0,431026803777.0,198000000000.0
Công ty TNHH MTV Thương mại Thành Phát,01/01/2018 > Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,3.075.855.449,(3.075.855.449),20.195.018.426,857.412.273.659,768.295.904.421,4.208.457,3075855449.0,-3075855449.0,20195018426.0,857412273659.0,768295904421.0,4208457.0
Họat động SXKD khác,01/01/2018 > Họat động SXKD khác,Họat động SXKD khác,1.186.663.603.816,(806.750.221.657),791.082.467.179,4.570.929.940.836,2.062.976.286.250,51.392.964.337,1186663603816.0,-806750221657.0,791082467179.0,4570929940836.0,2062976286250.0,51392964337.0
,,,5.400.125.347.730,(2.852.554.936.889),1.062.002.092.261,8.612.267.621.042,3.289.397.809.184,409.187.298.399,5400125347730.0,-2852554936889.0,1062002092261.0,8612267621042.0,3289397809184.0,409187298399.0
Các khoản loại trừ,01/01/2018 > Các khoản loại trừ,Các khoản loại trừ,-,-,(772.184.214.624),(1.613.225.952.877),(772.184.214.624),-,,,-772184214624.0,-1613225952877.0,-772184214624.0,
Tổng cộng,01/01/2018 > Tổng cộng,Tổng cộng,5.400.125.347.730,(2.852.554.936.889),289.817.877.637,6.999.041.668.165,2.517.213.594.560,409.187.298.399,5400125347730.0,-2852554936889.0,289817877637.0,6999041668165.0,2517213594560.0,409187298399.0
