row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số phát sinh trong năm,Số phát sinh trong năm_1,Số cuối năm,Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số phát sinh trong năm,numeric__Số phát sinh trong năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1
,,,Phải thu,Phải nộp,Phải nộp,Thực nộp,Phải thu,Phải nộp,,,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,8.010.956.246,343.575.102.427,341.038.680.025,-,10.547.378.648,,8010956246.0,343575102427.0,341038680025.0,,10547378648.0
Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,Thuế giá trị gia tăng NK,-,-,7.084.404.054,7.084.404.054,-,-,,,7084404054.0,7084404054.0,,
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,-,20.270.922.905,290.068.797.374,292.018.783.001,-,18.320.937.278,,20270922905.0,290068797374.0,292018783001.0,,18320937278.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,61.189.608,707.010.709,768.200.317,-,-,,61189608.0,707010709.0,768200317.0,,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,-,51.563.744.478,164.811.258.832,138.110.674.306,-,78.264.329.004,,51563744478.0,164811258832.0,138110674306.0,,78264329004.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,151.074.945,22.358.045.921,22.466.594.799,-,42.526.067,,151074945.0,22358045921.0,22466594799.0,,42526067.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,128.050.311,2.240.632.845,2.206.397.050,-,162.286.106,,128050311.0,2240632845.0,2206397050.0,,162286106.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,-,2.678.249.414,2.678.249.414,-,-,,,2678249414.0,2678249414.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,25.785.512,27.937.921,588.587.135,592.845.780,25.785.512,23.679.276,25785512.0,27937921.0,588587135.0,592845780.0,25785512.0,23679276.0
Phí và lệ phí,Phí và lệ phí,Phí và lệ phí,-,9.791.248,177.548.468,177.496.468,-,9.843.248,,9791248.0,177548468.0,177496468.0,,9843248.0
Cộng,Cộng,Cộng,25.785.512,80.223.667.662,834.289.637.179,807.142.325.214,25.785.512,107.370.979.627,25785512.0,80223667662.0,834289637179.0,807142325214.0,25785512.0,107370979627.0
