row_label_raw,row_label_full,Báo cáo bộ phàntheo hoạt động kinh doanh,Sản phẩm dưỡng,Sản phẩm dưỡng_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm dưỡng,numeric__Sản phẩm dưỡng_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phàntheo hoạt động kinh doanh,Báo cáo bộ phàntheo hoạt động kinh doanh,Báo cáo bộ phàntheo hoạt động kinh doanh,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,Năm 2018,Năm 2017,,,,,,,,,,,,
Doanh thu bộ phận,Báo cáo bộ phàntheo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,2.250.918.920.910,1.867.155.971.510,3.862.620.494.387,3.885.376.251.685,1.415.299.895.117,849.583.893.801,1.591.998.488.376,1.548.274.994.608,(1.089.799.375.164),(517.503.192.664),8.031.038.423.626,7.632.887.918.940,2250918920910.0,1867155971510.0,3862620494387.0,3885376251685.0,1415299895117.0,849583893801.0,1591998488376.0,1548274994608.0,-1089799375164.0,-517503192664.0,8031038423626.0,7632887918940.0
Giá vốn bộ phận,Báo cáo bộ phàntheo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,1.976.401.338.649,1.805.916.264.990,2.223.136.965.517,2.363.351.099.714,1.365.871.320.612,793.409.705.481,1.251.790.274.034,1.177.511.264.615,(1.080.408.605.284),(503.331.524.033),5.736.791.293.528,5.636.856.810.767,1976401338649.0,1805916264990.0,2223136965517.0,2363351099714.0,1365871320612.0,793409705481.0,1251790274034.0,1177511264615.0,-1080408605284.0,-503331524033.0,5736791293528.0,5636856810767.0
Lợi nhuận gộp,Báo cáo bộ phàntheo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,274.517.582.261,61.239.706.520,1.639.483.528.870,1.522.025.151.971,49.428.574.505,56.174.188.320,340.208.214.342,370.763.729.993,(9.390.769.880),(14.171.668.631),2.294.247.130.098,1.996.031.108.173,274517582261.0,61239706520.0,1639483528870.0,1522025151971.0,49428574505.0,56174188320.0,340208214342.0,370763729993.0,-9390769880.0,-14171668631.0,2294247130098.0,1996031108173.0
Doanh thu hoạt động tài chính,Báo cáo bộ phàntheo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,87.225.367.833,37.649.239.466,,,,,,,,,,,87225367833.0,37649239466.0
Chi phí tài chính,Báo cáo bộ phàntheo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,96.150.990.482,78.015.189.109,,,,,,,,,,,96150990482.0,78015189109.0
Chi phí bán hàng,Báo cáo bộ phàntheo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,761.581.172.250,697.051.294.118,,,,,,,,,,,761581172250.0,697051294118.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phàntheo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,175.794.978.702,146.022.111.232,,,,,,,,,,,175794978702.0,146022111232.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phàntheo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,1.347.945.356.497,1.112.591.753.180,,,,,,,,,,,1347945356497.0,1112591753180.0
Thu nhập khác,Báo cáo bộ phàntheo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,58.183.846.887,28.057.819.110,,,,,,,,,,,58183846887.0,28057819110.0
Chi phí khác,Báo cáo bộ phàntheo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,826.514.241,2.311.933.712,,,,,,,,,,,826514241.0,2311933712.0
Lợi nhuận khác,Báo cáo bộ phàntheo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,57.357.332.646,25.745.885.398,,,,,,,,,,,57357332646.0,25745885398.0
Lợi nhuận trước thuế,Báo cáo bộ phàntheo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,1.405.302.689.143,1.138.337.638.578,,,,,,,,,,,1405302689143.0,1138337638578.0
Thuế TNDN,Báo cáo bộ phàntheo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,164.951.491.524,111.538.925.856,,,,,,,,,,,164951491524.0,111538925856.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phàntheo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,1.240.351.197.619,1.026.798.712.722,,,,,,,,,,,1240351197619.0,1026798712722.0
