row_label_raw,row_label_full,31/12/2018,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,418.383.925.994,-,418.383.925.994,418383925994.0,,418383925994.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,1.699.000.000.000,-,1.699.000.000.000,1699000000000.0,,1699000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,81.504.745.379,-,81.504.745.379,81504745379.0,,81504745379.0
Phải thu khác,Phải thu khác,Phải thu khác,19.075.869.385,690.181.497,19.766.050.882,19075869385.0,690181497.0,19766050882.0
Cộng,Cộng,Cộng,2.217.964.540.758,690.181.497,2.218.654.722.255,2217964540758.0,690181497.0,2218654722255.0
01/01/2018,01/01/2018,01/01/2018,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2018 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,527.962.730.727,-,527.962.730.727,527962730727.0,,527962730727.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2018 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,751.000.000.000,-,751.000.000.000,751000000000.0,,751000000000.0
Phải thu khách hàng,01/01/2018 > Phải thu khách hàng,Phải thu khách hàng,18.587.817.521,-,18.587.817.521,18587817521.0,,18587817521.0
Phải thu khác,01/01/2018 > Phải thu khác,Phải thu khác,13.317.329.217,690.181.497,14.007.510.714,13317329217.0,690181497.0,14007510714.0
Cộng,01/01/2018 > Cộng,Cộng,1.310.867.877.465,690.181.497,1.311.558.058.962,1310867877465.0,690181497.0,1311558058962.0
