row_label_raw,row_label_full,31/12/2018,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,445.725.967.834,-,445.725.967.834,445725967834.0,,445725967834.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,3.008.342.529,-,3.008.342.529,3008342529.0,,3008342529.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.727.184.074.877,-,1.727.184.074.877,1727184074877.0,,1727184074877.0
Phải trả khác,Phải trả khác,Phải trả khác,135.935.813.767,18.776.975.691,154.712.789.458,135935813767.0,18776975691.0,154712789458.0
Cộng,Cộng,Cộng,2.311.854.199.007,18.776.975.691,2.330.631.174.698,2311854199007.0,18776975691.0,2330631174698.0
01/01/2018,01/01/2018,01/01/2018,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2018 > Phải trả người bán,Phải trả người bán,539.666.220.767,-,539.666.220.767,539666220767.0,,539666220767.0
Chi phí phải trả,01/01/2018 > Chi phí phải trả,Chi phí phải trả,1.497.281.684,-,1.497.281.684,1497281684.0,,1497281684.0
Vay và nợ thuê tài chính,01/01/2018 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.404.083.049.153,145.171.459.706,1.549.254.508.859,1404083049153.0,145171459706.0,1549254508859.0
Phải trả khác,01/01/2018 > Phải trả khác,Phải trả khác,116.058.513.534,18.090.177.914,134.148.691.448,116058513534.0,18090177914.0,134148691448.0
Cộng,01/01/2018 > Cộng,Cộng,2.061.305.065.138,163.261.637.620,2.224.566.702.758,2061305065138.0,163261637620.0,2224566702758.0
