row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay (cho vay khách hàng và các TCTD khác) triệu đồng,"Tổng tiền gửi huy động (tiền gửi của khách hàng, tiền gửi và vay các TCTD khác) triệu đồng",Các cam kết tín dụng triệu đồng,Công cụ tài chính phải sinh (Tổng giá trị hợp đồng) triệu đồng,Kinh doanh và đầu tư chứng khoán triệu đồng,numeric__Tổng dư nợ cho vay (cho vay khách hàng và các TCTD khác) triệu đồng,"numeric__Tổng tiền gửi huy động (tiền gửi của khách hàng, tiền gửi và vay các TCTD khác) triệu đồng",numeric__Các cam kết tín dụng triệu đồng,numeric__Công cụ tài chính phải sinh (Tổng giá trị hợp đồng) triệu đồng,numeric__Kinh doanh và đầu tư chứng khoán triệu đồng
Trong nước,Trong nước,Trong nước,158.910.371,186.723.174,29.273.603,220.912.684,37.897.490,158910371.0,186723174.0,29273603.0,220912684.0,37897490.0
Nước ngoài,Nước ngoài,Nước ngoài,-,111.269,-,-,-,,111269.0,,,
Tổng,Tổng,Tổng,158.910.371,186.834.443,29.273.603,220.912.684,37.897.490,158910371.0,186834443.0,29273603.0,220912684.0,37897490.0
