row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Khác dịch/số dư nội bộ triệu đồng,Loại trừ giao triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Khác dịch/số dư nội bộ triệu đồng,numeric__Loại trừ giao triệu đồng,numeric__Tổng cộng triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,50.611.239,-,(22.029.162),28.582.077,50611239.0,,-22029162.0,28582077.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,40.980.217,-,(22.029.132),18.951.085,40980217.0,,-22029132.0,18951085.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2.018.003,-,(30),2.017.973,2018003.0,,-30.0,2017973.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,7.613.019,-,-,7.613.019,7613019.0,,,7613019.0
II. Chi phí,II. Chi phí,II. Chi phí,(43.154.853),-,22.019.432,(21.135.421),-43154853.0,,22019432.0,-21135421.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(31.791.702),-,22.029.132,(9.762.570),-31791702.0,,22029132.0,-9762570.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(100.514),-,252,(100.262),-100514.0,,252.0,-100262.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(11.262.637),-,(9.952),(11.272.589),-11262637.0,,-9952.0,-11272589.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,7.456.386,-,(9.730),7.446.656,7456386.0,,-9730.0,7446656.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(1.616.746),-,-,(1.616.746),-1616746.0,,,-1616746.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,5.839.640,-,(9.730),5.829.910,5839640.0,,-9730.0,5829910.0
