row_label_raw,row_label_full,Thù lao Hội đồng quản trị,(15.039),(16.363),numeric__(15.039),numeric__(16.363)
- Chủ tịch,- Chủ tịch,- Chủ tịch,-,-,,
- Phó chủ tịch 1,- Chủ tịch > - Phó chủ tịch 1,- Phó chủ tịch 1,(3.230),(3.334),-3230.0,-3334.0
- Phó chủ tịch 2,- Chủ tịch > - Phó chủ tịch 2,- Phó chủ tịch 2,(2.936),(3.243),-2936.0,-3243.0
- Thành viên 1,- Chủ tịch > - Thành viên 1,- Thành viên 1,(2.585),(2.954),-2585.0,-2954.0
- Thành viên 2,- Chủ tịch > - Thành viên 2,- Thành viên 2,(2.827),(3.159),-2827.0,-3159.0
- Thành viên 3,- Chủ tịch > - Thành viên 3,- Thành viên 3,(1.869),(2.132),-1869.0,-2132.0
- Thành viên 4,- Chủ tịch > - Thành viên 4,- Thành viên 4,(1.592),(1.541),-1592.0,-1541.0
Thù lao của Ban kiểm soát,- Chủ tịch > Thù lao của Ban kiểm soát,Thù lao của Ban kiểm soát,(5.071),(4.783),-5071.0,-4783.0
Lương của Tổng Giám đốc và các Phó Tổng Giám đốc,- Chủ tịch > Lương của Tổng Giám đốc và các Phó Tổng Giám đốc,Lương của Tổng Giám đốc và các Phó Tổng Giám đốc,(34.608),(35.689),-34608.0,-35689.0
Thu nhập lãi tiền vay,- Chủ tịch > Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,19.262,2.054,19262.0,2054.0
Thu nhập từ phí dịch vụ và thu nhập khác,- Chủ tịch > Thu nhập từ phí dịch vụ và thu nhập khác,Thu nhập từ phí dịch vụ và thu nhập khác,252,64,252.0,64.0
Chi phí lãi tiền gửi và chứng chỉ tiền gửi,- Chủ tịch > Chi phí lãi tiền gửi và chứng chỉ tiền gửi,Chi phí lãi tiền gửi và chứng chỉ tiền gửi,(39.211),(2.675),-39211.0,-2675.0
