row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2023 triệu đồng,Ngày 31 tháng 12 năm 2022 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2023 triệu đồng,numeric__Ngày 31 tháng 12 năm 2022 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,939.629,1.393.551,5.0,939629.0,1393551.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNN”),TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNN”),Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNN”),6,4.589.199,3.689.730,6.0,4589199.0,3689730.0
Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,7,61.149.694,39.243.600,7.0,61149694.0,39243600.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,,51.384.709,29.363.640,,51384709.0,29363640.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,,9.764.985,9.879.960,,9764985.0,9879960.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,-,21.675,8.0,,21675.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,-,39.287,,,39287.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,-,(17.612),,,-17612.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,-,446.344,9.0,,446344.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,146.782.639,119.212.621,,146782639.0,119212621.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,149.145.386,120.643.542,10.0,149145386.0,120643542.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(2.362.747),(1.430.921),11.0,-2362747.0,-1430921.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,37.880.373,31.534.742,12.0,37880373.0,31534742.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,37.897.490,31.554.087,,37897490.0,31554087.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(17.117),(19.345),,-17117.0,-19345.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,10.036,10.036,13.0,10036.0,10036.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,10.036,10.036,,10036.0,10036.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,402.736,382.873,,402736.0,382873.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14,202.533,153.330,14.0,202533.0,153330.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,661.129,606.147,,661129.0,606147.0
Khấu hao lũy kế,TÀI SẢN > Khấu hao lũy kế,Khấu hao lũy kế,,(458.596),(452.817),,-458596.0,-452817.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15,200.203,229.543,15.0,200203.0,229543.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,,630.943,618.177,,630943.0,618177.0
Hao mòn lũy kế,TÀI SẢN > Hao mòn lũy kế,Hao mòn lũy kế,,(430.740),(388.634),,-430740.0,-388634.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,15.251.532,16.840.686,16.0,15251532.0,16840686.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,8.480.027,10.881.321,161.0,8480027.0,10881321.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,5.065.400,2.808.476,162.0,5065400.0,2808476.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,TÀI SẢN > Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,16.3,-,50,163.0,,50.0
