row_label_raw,row_label_full,Dự phòng cho số tiền chưa thu được của nợ đã bán,Ngày 31 tháng 12năm 2023triệu đồng > -,Ngày 31 tháng 12năm 2022triệu đồng > 27.362,numeric__Ngày 31 tháng 12năm 2023triệu đồng > -,numeric__Ngày 31 tháng 12năm 2022triệu đồng > 27.362
- Dự phòng chung,- Dự phòng chung,- Dự phòng chung,-,27.362,,27362.0
Dự phòng rủi ro khác,Dự phòng rủi ro khác,Dự phòng rủi ro khác,43.650,40.068,43650.0,40068.0
,,,43.650,67.430,43650.0,67430.0
