row_label_raw,row_label_full,col_0,Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,Giữ đến ngày đáo hạn triệu đồng,Cho vay và phải thu triệu đồng,Sẵn sàng để bán triệu đồng,Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,Tổng cộng triệu đồng,Giá trị hợp lý triệu đồng,numeric__Ghi nhận giá trị hợp lý thông qua lãi lỗ triệu đồng,numeric__Giữ đến ngày đáo hạn triệu đồng,numeric__Cho vay và phải thu triệu đồng,numeric__Sẵn sàng để bán triệu đồng,numeric__Tài sản và nợ khác ghi nhận theo giá trị phân bổ triệu đồng,numeric__Tổng cộng triệu đồng,numeric__Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",939.629,-,-,-,-,939.629,939.629,939629.0,,,,,939629.0,939629.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.589.199,-,-,4.589.199,(*),,,4589199.0,,,4589199.0,
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,61.149.694,-,-,61.149.694,(*),,,61149694.0,,,61149694.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,149.145.386,-,-,149.145.386,(*),,,149145386.0,,,149145386.0,
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,-,-,-,37.897.490,-,37.897.490,(*),,,,37897490.0,,37897490.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,10.036,-,10.036,(*),,,,10036.0,,10036.0,
Tài sân tài chính khác,Tài sân tài chính khác,Tài sân tài chính khác,-,-,14.504.691,-,-,14.504.691,(*),,,14504691.0,,,14504691.0,
,,,939.629,-,229.388.970,37.907.526,-,268.236.125,,939629.0,,229388970.0,37907526.0,,268236125.0,
Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,1.012.533,1.012.533,(*),,,,,1012533.0,1012533.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,85.553.514,85.553.514,(*),,,,,85553514.0,85553514.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,132.350.131,132.350.131,(*),,,,,132350131.0,132350131.0,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,263.356,-,-,-,-,263.356,(*),263356.0,,,,,263356.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,8.991.415,8.991.415,(*),,,,,8991415.0,8991415.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,6.009.132,6.009.132,(*),,,,,6009132.0,6009132.0,
,,,263.356,-,-,-,233.916.725,234.180.081,,263356.0,,,,233916725.0,234180081.0,
