row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tàitriệu đồng,Thiết bị dụng cụquản lýtriệu đồng,TSCĐhửu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tàitriệu đồng,numeric__Thiết bị dụng cụquản lýtriệu đồng,numeric__TSCĐhửu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,28.589,393.508,91.919,91.905,226,606.147,28589.0,393508.0,91919.0,91905.0,226.0,606147.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,94.948,-,6.938,5.410,107.296,,94948.0,,6938.0,5410.0,107296.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(34.098),(748),(17.424),(44),(52.314),,-34098.0,-748.0,-17424.0,-44.0,-52314.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,28.589,454.358,91.171,81.419,5.592,661.129,28589.0,454358.0,91171.0,81419.0,5592.0,661129.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số dư đầu năm,Giá trị khấu hao luỹ kế > Số dư đầu năm,Số dư đầu năm,13.379,281.136,75.447,82.659,196,452.817,13379.0,281136.0,75447.0,82659.0,196.0,452817.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,562,47.809,2.770,6.084,931,58.156,562.0,47809.0,2770.0,6084.0,931.0,58156.0
Thanh lý trong năm,Giá trị khấu hao luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(34.091),(748),(17.389),(44),(52.272),,-34091.0,-748.0,-17389.0,-44.0,-52272.0
Giảm khác trong năm,Giá trị khấu hao luỹ kế > Giảm khác trong năm,Giảm khác trong năm,-,(105),-,-,-,(105),,-105.0,,,,-105.0
Số dư cuối năm,Giá trị khấu hao luỹ kế > Số dư cuối năm,Số dư cuối năm,13.941,294.749,77.469,71.354,1.083,458.596,13941.0,294749.0,77469.0,71354.0,1083.0,458596.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,15.210,112.372,16.472,9.246,30,153.330,15210.0,112372.0,16472.0,9246.0,30.0,153330.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,14.648,159.609,13.702,10.065,4.509,202.533,14648.0,159609.0,13702.0,10065.0,4509.0,202533.0
