row_label_raw,row_label_full,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị_1
Tiền gửi,Tiền gửi,Tiền gửi,(2.086),-2086.0
Tiền vay,Tiền vay,Tiền vay,15,15.0
