row_label_raw,row_label_full,col_0,Chưa bị giả giá triệu đồng,Bị giảm giá nhưng không có dự phòng triệu đồng,Bị giảm giá và có dự phòng triệu đồng,Tổng cộng triệu đồng,numeric__Chưa bị giả giá triệu đồng,numeric__Bị giảm giá nhưng không có dự phòng triệu đồng,numeric__Bị giảm giá và có dự phòng triệu đồng,numeric__Tổng cộng triệu đồng
Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,Tiền gửi có kỳ hạn tại và cho vay các TCTD khác,47.335.759,-,-,47.335.759,47335759.0,,,47335759.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,142.221.856,1.562.044,5.361.486,149.145.386,142221856.0,1562044.0,5361486.0,149145386.0
"Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành","Chứng khoán nợ do các TCTD, TCKT trong nước phát hành",14.921.000,376.000,28.385,15.325.385,14921000.0,376000.0,28385.0,15325385.0
Tài sản có rủi ro tín dụng khác,Tài sản có rủi ro tín dụng khác,Tài sản có rủi ro tín dụng khác,-,4.001.159,-,4.001.159,,4001159.0,,4001159.0
Tổng cộng,Tổng cộng,Tổng cộng,204.478.615,5.939.203,5.389.871,215.807.689,204478615.0,5939203.0,5389871.0,215807689.0
