row_label_raw,row_label_full,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị,CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP ROX Living – Bên liên quan của thành viên Hội đồng Quản trị_1
Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(3),-3.0
Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,5,5.0
