row_label_raw,row_label_full,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn_1,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn_2,numeric__Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn_1,numeric__Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) – Cổ đông lớn_2
Tiền gửi,Tiền gửi,Tiền gửi,(1.558.638),(2.489.341),-1558638.0,-2489341.0
Các khoản lãi phải trả,Các khoản lãi phải trả,Các khoản lãi phải trả,(21.864),(45.698),-21864.0,-45698.0
