row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.233,546.134,19.810,618.177,52233.0,546134.0,19810.0,618177.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,10.490,2.276,12.766,,10490.0,2276.0,12766.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,52.233,556.624,22.086,630.943,52233.0,556624.0,22086.0,630943.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,-,379.060,9.574,388.634,,379060.0,9574.0,388634.0
Hao mòn trong năm,Giá trị hao mòn luỹ kế > Hao mòn trong năm,Hao mòn trong năm,-,39.127,2.979,42.106,,39127.0,2979.0,42106.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,-,418.187,12.553,430.740,,418187.0,12553.0,430740.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,52.233,167.074,10.236,229.543,52233.0,167074.0,10236.0,229543.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,52.233,138.437,9.533,200.203,52233.0,138437.0,9533.0,200203.0
