row_label_raw,row_label_full,Số dư đầu năm,Ngày 31 tháng 12năm 2023triệu đồng > 50,Ngày 31 tháng 12năm 2022triệu đồng > 61,numeric__Ngày 31 tháng 12năm 2023triệu đồng > 50,numeric__Ngày 31 tháng 12năm 2022triệu đồng > 61
Tài sản thuê thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,Tài sản thuê thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,Tài sản thuê thu nhập hoãn lại liên quan đến khoản chênh lệch tạm thời được khấu trừ,(50),(11),-50.0,-11.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,50,,50.0
