row_label_raw,row_label_full,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị_1,CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị_2,numeric__CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP FamilyMart Việt Nam – Bên liên quan của thành viên Hội đồng Quản trị_2
Tiền gửi,Tiền gửi,Tiền gửi,(381),(576),-381.0,-576.0
Tiền vay,Tiền vay,Tiền vay,13,-,13.0,
