row_label_raw,row_label_full,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị_1,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị_2,numeric__CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị_2
Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,(6),(5),-6.0,-5.0
Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,Thu nhập từ phí dịch vụ,38,145,38.0,145.0
Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,Thu nhập lãi tiền vay,1,1,1.0,1.0
