row_label_raw,row_label_full,col_0,Năm 2023triệu đồng,Năm 2022triệu đồng,numeric__Năm 2023triệu đồng,numeric__Năm 2022triệu đồng
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",87.993,81.597,87993.0,81597.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,2.838.027,2.647.866,2838027.0,2647866.0
Chi lương và phụ cấp,Chi lương và phụ cấp,Chi lương và phụ cấp,2.498.722,2.341.959,2498722.0,2341959.0
Các khoản chi đóng theo lương,Các khoản chi đóng theo lương,Các khoản chi đóng theo lương,215.854,174.963,215854.0,174963.0
Chi trợ cấp,Chi trợ cấp,Chi trợ cấp,59.186,58.635,59186.0,58635.0
Các khoản chi khác,Các khoản chi khác,Các khoản chi khác,64.265,72.309,64265.0,72309.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,639.932,574.742,639932.0,574742.0
Khấu hao tài sản cố định,Khấu hao tài sản cố định,Khấu hao tài sản cố định,100.262,103.323,100262.0,103323.0
Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,Bảo dưỡng và sửa chữa tài sản,116.921,99.705,116921.0,99705.0
Thuê tài sản,Thuê tài sản,Thuê tài sản,374.173,317.160,374173.0,317160.0
Mua sắm công cụ lao động,Mua sắm công cụ lao động,Mua sắm công cụ lao động,37.186,37.082,37186.0,37082.0
Chi bảo hiểm tài sản,Chi bảo hiểm tài sản,Chi bảo hiểm tài sản,11.390,17.472,11390.0,17472.0
Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,Chi cho hoạt động quản lý công vụ,1.150.713,1.055.338,1150713.0,1055338.0
Công tác phí,Công tác phí,Công tác phí,65.405,47.707,65405.0,47707.0
"Chi thuê chuyên gia, tư vấn","Chi thuê chuyên gia, tư vấn","Chi thuê chuyên gia, tư vấn",139.080,80.025,139080.0,80025.0
Chi hoạt động quản lý công vụ khác,Chi hoạt động quản lý công vụ khác,Chi hoạt động quản lý công vụ khác,946.228,927.606,946228.0,927606.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",95.736,66.303,95736.0,66303.0
(Hoàn nhập)/Trích lập chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),(Hoàn nhập)/Trích lập chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),(Hoàn nhập)/Trích lập chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),(70),2.118,-70.0,2118.0
,,,4.812.331,4.427.964,4812331.0,4427964.0
