row_label_raw,row_label_full,col_0,Năm 2023 triệu đồng,Năm 2022 triệu đồng,numeric__Năm 2023 triệu đồng,numeric__Năm 2022 triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,610.169,760.999,610169.0,760999.0
Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,Thu nhập từ nợ đã xử lý rủi ro,169.516,448.922,169516.0,448922.0
Thu nhập từ chuyển nhượng thanh lý tài sản,Thu nhập từ chuyển nhượng thanh lý tài sản,Thu nhập từ chuyển nhượng thanh lý tài sản,469,1.762,469.0,1762.0
Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,Thu từ nghiệp vụ mua bán nợ,177,1.039,177.0,1039.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,440.007,309.276,440007.0,309276.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(709.697),(1.183.995),-709697.0,-1183995.0
Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,Chi về nghiệp vụ mua bán nợ,-,(2),,-2.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(64),(24),-64.0,-24.0
Chi phí khác,Chi phí khác,Chi phí khác,(709.633),(1.183.969),-709633.0,-1183969.0
Lỗ thuần từ hoạt động khác,Lỗ thuần từ hoạt động khác,Lỗ thuần từ hoạt động khác,(99.528),(422.996),-99528.0,-422996.0
