row_label_raw,row_label_full,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị_1,CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị_2,numeric__CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị_1,numeric__CTCP Tập đoàn ROX – Bên liên quan của thành viên Hội đồng Quản trị_2
Tiền gửi,Tiền gửi,Tiền gửi,(3.588),(1.041),-3588.0,-1041.0
Tiền vay,Tiền vay,Tiền vay,48,44,48.0,44.0
