row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,27,40.447.137.929.383,38.707.143.264.487,1.0,27.0,40447137929383.0,38707143264487.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,27,915.669.265.439,747.444.508.465,2.0,27.0,915669265439.0,747444508465.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,27,39.531.468.663.944,37.959.698.756.022,10.0,27.0,39531468663944.0,37959698756022.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,28,31.093.333.588.720,30.465.878.878.610,11.0,28.0,31093333588720.0,30465878878610.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,8.438.135.075.224,7.493.819.877.412,20.0,,8438135075224.0,7493819877412.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,30,574.759.707.458,452.546.690.212,21.0,30.0,574759707458.0,452546690212.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,31,694.213.959.980,620.411.567.508,22.0,31.0,694213959980.0,620411567508.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,374.186.078.800,262.502.327.611,23.0,,374186078800.0,262502327611.0
8. Phăn lãi trong công ty liên kết,8. Phăn lãi trong công ty liên kết,8. Phăn lãi trong công ty liên kết,24,,35.133.362.370,34.474.687.218,24.0,,35133362370.0,34474687218.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,,2.638.454.515.198,2.226.870.805.958,25.0,,2638454515198.0,2226870805958.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,,2.751.158.473.432,2.331.789.496.610,26.0,,2751158473432.0,2331789496610.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,2.964.201.196.442,2.801.769.384.766,30.0,,2964201196442.0,2801769384766.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,32,99.839.840.254,146.796.066.673,31.0,32.0,99839840254.0,146796066673.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,50.142.370.455,97.416.623.718,32.0,,50142370455.0,97416623718.0
14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),40,,49.697.469.799,49.379.442.955,40.0,,49697469799.0,49379442955.0
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,3.013.898.666.241,2.851.148.827.721,50.0,,3013898666241.0,2851148827721.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,33,424.741.482.194,497.001.075.715,51.0,33.0,424741482194.0,497001075715.0
17. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,17. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,33,13.466.338.768,(83.937.013.159),52.0,33.0,13466338768.0,-83937013159.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,2.575.690.845.279,2.438.084.765.165,60.0,,2575690845279.0,2438084765165.0
18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,61,,1.990.642.578.391,1.930.895.920.629,61.0,,1990642578391.0,1930895920629.0
18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,585.048.266.888,507.188.844.536,62.0,,585048266888.0,507188844536.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,34,3.925,3.811,70.0,34.0,3925.0,3811.0
20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,20. Lãi suy giảm trên cổ phiếu,71,,3.925,3.811,71.0,,3925.0,3811.0
