row_label_raw,row_label_full,Chi tiêu,Số đầu năm,Số phải nộp,Số đã nộp và được khấu trừ,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp,numeric__Số đã nộp và được khấu trừ,numeric__Số cuối năm
Chi tiêu,Chi tiêu,Chi tiêu,VND,VND,VND,VND,,,,
Thuế giá trị gia tăng,Chi tiêu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,117.274.368.572,4.865.584.725.679,4.849.397.412.272,133.461.681.979,117274368572.0,4865584725679.0,4849397412272.0,133461681979.0
- Thuế giá trị gia tăng đầu ra,Chi tiêu > - Thuế giá trị gia tăng đầu ra,- Thuế giá trị gia tăng đầu ra,116.569.100.996,3.775.940.148.939,3.759.753.422.245,132.755.827.690,116569100996.0,3775940148939.0,3759753422245.0,132755827690.0
- Thuế giá trị gia tăng hàng nhập khẩu,Chi tiêu > - Thuế giá trị gia tăng hàng nhập khẩu,- Thuế giá trị gia tăng hàng nhập khẩu,705.267.576,1.089.644.576.740,1.089.643.990.027,705.854.289,705267576.0,1089644576740.0,1089643990027.0,705854289.0
Thuế nhập khẩu,Chi tiêu > Thuế nhập khẩu,Thuế nhập khẩu,47.419.206,16.191.899.045,16.191.287.371,48.030.880,47419206.0,16191899045.0,16191287371.0,48030880.0
Thuế thu nhập doanh nghiệp,Chi tiêu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,158.969.917.360,419.199.669.540,531.442.237.616,46.727.349.284,158969917360.0,419199669540.0,531442237616.0,46727349284.0
Thuế thu nhập cá nhân,Chi tiêu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,15.538.251.548,284.587.922.449,273.675.360.282,26.450.813.715,15538251548.0,284587922449.0,273675360282.0,26450813715.0
Thuế nhà thầu,Chi tiêu > Thuế nhà thầu,Thuế nhà thầu,6.630.053.535,43.790.195.894,42.415.892.572,8.004.356.857,6630053535.0,43790195894.0,42415892572.0,8004356857.0
Các loại thuế và phí khác,Chi tiêu > Các loại thuế và phí khác,Các loại thuế và phí khác,1.163.425.295,8.283.665.570,4.834.575.170,4.612.515.695,1163425295.0,8283665570.0,4834575170.0,4612515695.0
Cộng,Chi tiêu > Cộng,Cộng,299.623.435.516,5.637.638.078.177,5.717.956.765.283,219.304.748.410,299623435516.0,5637638078177.0,5717956765283.0,219304748410.0
