row_label_raw,row_label_full,Chi tiêu,Tin học và viễn thông,Tin học và viễn thông_1,Tin học và viễn thông_2,Tin học và viễn thông_3,Tin học và viễn thông_4,Tin học và viễn thông_5,Tin học và viễn thông_6,Loại trừ hợp nhất,Tổng cộng,numeric__Tin học và viễn thông,numeric__Tin học và viễn thông_1,numeric__Tin học và viễn thông_2,numeric__Tin học và viễn thông_3,numeric__Tin học và viễn thông_4,numeric__Tin học và viễn thông_5,numeric__Tin học và viễn thông_6,numeric__Loại trừ hợp nhất,numeric__Tổng cộng
Chi tiêu,Chi tiêu,Chi tiêu,Viễn thông,Nội dung số,Phát triển phần mềm,Tích hợp hệ thống,Dịch vụ tin học,Giáo dục và đầu tư,"Sản xuất, phần phối và bán lẻ sản phẩm công nghệ",Loại trừ hợp nhất,Tổng cộng,,,,,,,,,
Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,Doanh thu theo bộ phận,,,,,,,,,
Doanh thu thuãn từ bán hàng ra bên ngoài,Doanh thu theo bộ phận > Doanh thu thuãn từ bán hàng ra bên ngoài,Doanh thu thuãn từ bán hàng ra bên ngoài,5.104.331,448.551,5.185.371,2.417.858,834.258,731.345,23.237.985,-,37.959.699,5104331.0,448551.0,5185371.0,2417858.0,834258.0,731345.0,23237985.0,,37959699.0
Doanh thu thuãn từ bán hàng cho các bộ phận khác,Doanh thu theo bộ phận > Doanh thu thuãn từ bán hàng cho các bộ phận khác,Doanh thu thuãn từ bán hàng cho các bộ phận khác,14.745,-,74.159,111.983,38.638,168.583,2.399.372,(2.807.480),-,14745.0,,74159.0,111983.0,38638.0,168583.0,2399372.0,-2807480.0,
Tổng doanh thu theo bộ phận,Doanh thu theo bộ phận > Tổng doanh thu theo bộ phận,Tổng doanh thu theo bộ phận,5.119.076,448.551,5.259.530,2.529.841,872.896,899.928,25.637.357,(2.807.480),37.959.699,5119076.0,448551.0,5259530.0,2529841.0,872896.0,899928.0,25637357.0,-2807480.0,37959699.0
Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,Chi phí theo bộ phận,,,,,,,,,
Chi phí phân bổ trực tiếp cho bộ phận,Chi phí theo bộ phận > Chi phí phân bổ trực tiếp cho bộ phận,Chi phí phân bổ trực tiếp cho bộ phận,(4.229.600),(298.391),(4.485.903),(2.369.703),(817.642),(863.513),(24.777.779),2.817.992,(35.024.539),-4229600.0,-298391.0,-4485903.0,-2369703.0,-817642.0,-863513.0,-24777779.0,2817992.0,-35024539.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,,,
- Tổng chi phí khấu hao tài sản cổ định,Trong đó: > - Tổng chi phí khấu hao tài sản cổ định,- Tổng chi phí khấu hao tài sản cổ định,(543.002),(9.019),(97.862),(25.084),(8.655),(45.712),(7.837),4.291,(732.880),-543002.0,-9019.0,-97862.0,-25084.0,-8655.0,-45712.0,-7837.0,4291.0,-732880.0
- Tổng phân bổ chi phí trả trước dài hạn của bộ phận,Trong đó: > - Tổng phân bổ chi phí trả trước dài hạn của bộ phận,- Tổng phân bổ chi phí trả trước dài hạn của bộ phận,(63.753),(15.598),(299.842),(36.225),(12.499),(104.574),(61.216),-,(593.707),-63753.0,-15598.0,-299842.0,-36225.0,-12499.0,-104574.0,-61216.0,,-593707.0
Kết quả hoạt động kinh doanh theo bộ phận,Trong đó: > Kết quả hoạt động kinh doanh theo bộ phận,Kết quả hoạt động kinh doanh theo bộ phận,889.476,150.160,773.627,160.138,55.254,36.415,859.578,10.512,2.935.160,889476.0,150160.0,773627.0,160138.0,55254.0,36415.0,859578.0,10512.0,2935160.0
Lợi nhuận trước thuế theo bộ phận,Trong đó: > Lợi nhuận trước thuế theo bộ phận,Lợi nhuận trước thuế theo bộ phận,877.505,166.940,741.346,96.306,89.663,1.885.196,728.176,(1.733.983),2.851.149,877505.0,166940.0,741346.0,96306.0,89663.0,1885196.0,728176.0,-1733983.0,2851149.0
Tài sản bộ phận,Trong đó: > Tài sản bộ phận,Tài sản bộ phận,7.260.414,694.502,3.816.502,2.169.229,748.470,4.866.102,8.500.116,(2.009.746),26.045.589,7260414.0,694502.0,3816502.0,2169229.0,748470.0,4866102.0,8500116.0,-2009746.0,26045589.0
Nợ phải trả bộ phận,Trong đó: > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.955.895,242.497,2.417.866,1.492.760,515.062,1.642.669,7.026.508,(2.429.954),15.863.303,4955895.0,242497.0,2417866.0,1492760.0,515062.0,1642669.0,7026508.0,-2429954.0,15863303.0
Tổng chi phí đã phát sinh để mua tài sản cổ định,Trong đó: > Tổng chi phí đã phát sinh để mua tài sản cổ định,Tổng chi phí đã phát sinh để mua tài sản cổ định,1.835.357,12.114,514.249,82.858,28.589,333.461,97.486,-,2.904.114,1835357.0,12114.0,514249.0,82858.0,28589.0,333461.0,97486.0,,2904114.0
