row_label_raw,row_label_full,col_0,Tài sản cố địnhVND,Các khoản dự phòngVND,Doanh thuVND,TổngVND,numeric__Tài sản cố địnhVND,numeric__Các khoản dự phòngVND,numeric__Doanh thuVND,numeric__TổngVND
Số đầu năm,Số đầu năm,Số đầu năm,19.511.967.770,6.442.820.333,190.714.935.678,216.669.723.781,19511967770.0,6442820333.0,190714935678.0,216669723781.0
Kết chuyển vào báo cáo kết quả hoạt động kinh doanh hợp nhất trong năm,Kết chuyển vào báo cáo kết quả hoạt động kinh doanh hợp nhất trong năm,Kết chuyển vào báo cáo kết quả hoạt động kinh doanh hợp nhất trong năm,(858.283.264),4.943.961.428,(15.885.202.382),(11.799.524.218),-858283264.0,4943961428.0,-15885202382.0,-11799524218.0
Giảm khác,Giảm khác,Giảm khác,-,-,(115.914.572.705),(115.914.572.705),,,-115914572705.0,-115914572705.0
Số cuối năm,Số cuối năm,Số cuối năm,18.653.684.506,11.386.781.761,58.915.160.591,88.955.626.858,18653684506.0,11386781761.0,58915160591.0,88955626858.0
