row_label_raw,row_label_full,col_0,Dự phòng bảo hành sản phẩm ngắn hạn,Dự phòng bảo hành sản phẩm dài hạn,Bảo lãnh cho các khoản cho sinh viên vay dài hạn,Tổng cộng,numeric__Dự phòng bảo hành sản phẩm ngắn hạn,numeric__Dự phòng bảo hành sản phẩm dài hạn,numeric__Bảo lãnh cho các khoản cho sinh viên vay dài hạn,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,16.952.179.257,6.592.059.350,12.905.000,23.557.143.607,16952179257.0,6592059350.0,12905000.0,23557143607.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,25.084.195.183,9.689.671.535,-,34.773.866.718,25084195183.0,9689671535.0,,34773866718.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(12.905.379.758),(2.537.269.812),-,(15.442.649.570),-12905379758.0,-2537269812.0,,-15442649570.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(21.397.158.714),(8.146.828.606),-,(29.543.987.320),-21397158714.0,-8146828606.0,,-29543987320.0
Số cuối năm,Số cuối năm,Số cuối năm,7.733.835.968,5.597.632.467,12.905.000,13.344.373.435,7733835968.0,5597632467.0,12905000.0,13344373435.0
