row_label_raw,row_label_full,Số đầu năm,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,numeric__Dưới 1 nămVND,numeric__Từ 1 - 5 nămVND,numeric__TổngVND
Tiền và các khoản tương đương tiễn,Tiền và các khoản tương đương tiễn,Tiền và các khoản tương đương tiễn,3.584.709.151.769,-,3.584.709.151.769,3584709151769.0,,3584709151769.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,5.154.274.387.534,348.027.975.696,5.502.302.363.230,5154274387534.0,348027975696.0,5502302363230.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,2.617.441.917.720,-,2.617.441.917.720,2617441917720.0,,2617441917720.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,632.649.372.195,632.649.372.195,,632649372195.0,632649372195.0
Tổng cộng,Tổng cộng,Tổng cộng,11.356.425.457.023,980.677.347.891,12.337.102.804.914,11356425457023.0,980677347891.0,12337102804914.0
Số đầu năm,Số đầu năm,Số đầu năm,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,,,
Các khoản vay và nợ thuê tài chính,Số đầu năm > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,8.191.325.008.702,614.354.593.251,8.805.679.601.953,8191325008702.0,614354593251.0,8805679601953.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,3.073.364.855.326,27.232.837.622,3.100.597.692.948,3073364855326.0,27232837622.0,3100597692948.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,518.769.375.019,-,518.769.375.019,518769375019.0,,518769375019.0
Tổng cộng,Số đầu năm > Tổng cộng,Tổng cộng,11.783.459.239.047,641.587.430.873,12.425.046.669.920,11783459239047.0,641587430873.0,12425046669920.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(427.033.782.024),339.089.917.018,(87.943.865.006),-427033782024.0,339089917018.0,-87943865006.0
