row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,21.908.662.957.423,18.959.009.136.105,100.0,,21908662957423.0,18959009136105.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,6,6.013.361.389.774,3.584.709.151.769,110.0,6.0,6013361389774.0,3584709151769.0
1. Tiền,1. Tiền,1. Tiền,111,,2.708.396.961.973,1.879.397.318.868,111.0,,2708396961973.0,1879397318868.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,3.304.964.427.801,1.705.311.832.901,112.0,,3304964427801.0,1705311832901.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,3.472.087.285.737,2.617.441.917.720,120.0,,3472087285737.0,2617441917720.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,7,3.472.087.285.737,2.617.441.917.720,123.0,7.0,3472087285737.0,2617441917720.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,6.640.135.921.823,5.534.209.011.621,130.0,,6640135921823.0,5534209011621.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,4.813.644.916.901,4.477.122.078.998,131.0,,4813644916901.0,4477122078998.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,502.798.063.471,346.030.178.124,132.0,,502798063471.0,346030178124.0
3. Phải thu theo tiến độ kẽ hoạch hợp đồng,3. Phải thu theo tiến độ kẽ hoạch hợp đồng,3. Phải thu theo tiến độ kẽ hoạch hợp đồng,134,8,621.152.412.137,516.837.479.455,134.0,8.0,621152412137.0,516837479455.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,9,845.228.760.854,476.421.501.226,136.0,9.0,845228760854.0,476421501226.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,,(142.688.231.540),(282.202.226.182),137.0,,-142688231540.0,-282202226182.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,4.553.808.475.949,5.268.099.617.220,140.0,,4553808475949.0,5268099617220.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,11,4.617.030.139.516,5.332.031.654.362,141.0,11.0,4617030139516.0,5332031654362.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,11,(63.221.663.567),(63.932.037.142),149.0,11.0,-63221663567.0,-63932037142.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,1.229.269.884.140,1.954.549.437.775,150.0,,1229269884140.0,1954549437775.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,700.736.999.465,829.521.434.436,151.0,12.0,700736999465.0,829521434436.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,405.361.079.316,1.106.181.985.080,152.0,,405361079316.0,1106181985080.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,13,123.171.805.359,18.846.018.259,153.0,13.0,123171805359.0,18846018259.0
