row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu và biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu và biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty Cổ phầnChứng khoán FPT,Công ty Cổ phầnChứng khoán FPT,Công ty Cổ phầnChứng khoán FPT,"Tăng 2, 71 Nguyễn Chí Thanh, Đồng Đa, Hà Nội",20%,"Các hoạt động môi giới chứng khoán, tự doanh chứng khoán, tư vấn đầu tư chứng khoán và dịch vụ lưu ký chứng khoán",,0.2,
Công ty Cổ phầnQuản lý Quỹ Đầu tư FPT,Công ty Cổ phầnQuản lý Quỹ Đầu tư FPT,Công ty Cổ phầnQuản lý Quỹ Đầu tư FPT,"Tăng 9, Tòa nhà TTC Lô B1A phường Dịch Vọng Hậu, Phạm Hùng, Cẫu Giấy, Hà Nội",25%,"Quản lý quỹ đầu tư, quản lý danh mục và các dịch vụ khác",,0.25,
