row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,numeric__Dưới 1 nămVND,numeric__Từ 1 - 5 nămVND,numeric__TổngVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,6.013.361.389.774,-,6.013.361.389.774,6013361389774.0,,6013361389774.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,6.104.567.810.464,380.965.916.003,6.485.533.726.467,6104567810464.0,380965916003.0,6485533726467.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,3.472.087.285.737,-,3.472.087.285.737,3472087285737.0,,3472087285737.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,756.802.393.141,756.802.393.141,,756802393141.0,756802393141.0
Tổng cộng,Tổng cộng,Tổng cộng,15.590.016.485.975,1.137.768.309.144,16.727.784.795.119,15590016485975.0,1137768309144.0,16727784795119.0
Số cuối năm,Số cuối năm,Số cuối năm,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,,,
Các khoản vay và nợ thuê tài chính,Số cuối năm > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,9.206.666.235.567,732.697.612.808,9.939.363.848.375,9206666235567.0,732697612808.0,9939363848375.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,4.166.585.454.179,8.893.281.263,4.175.478.735.442,4166585454179.0,8893281263.0,4175478735442.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,602.957.629.994,-,602.957.629.994,602957629994.0,,602957629994.0
Tổng cộng,Số cuối năm > Tổng cộng,Tổng cộng,13.976.209.319.740,741.590.894.071,14.717.800.213.811,13976209319740.0,741590894071.0,14717800213811.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,1.613.807.166.235,396.177.415.073,2.009.984.581.308,1613807166235.0,396177415073.0,2009984581308.0
