row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi số
,,,VND,VND,VND,VND,,,,
a. Đầu tư nằm giữ đến ngày đáo hạn,a. Đầu tư nằm giữ đến ngày đáo hạn,a. Đầu tư nằm giữ đến ngày đáo hạn,3.515.704.023.221,3.472.087.285.737,2.646.233.222.047,2.617.441.917.720,3515704023221.0,3472087285737.0,2646233222047.0,2617441917720.0
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,3.429.337.941.445,3.429.337.941.445,2.517.867.140.271,2.517.867.140.271,3429337941445.0,3429337941445.0,2517867140271.0,2517867140271.0
- Các khoản đầu tư ngắn hạn khác,- Các khoản đầu tư ngắn hạn khác,- Các khoản đầu tư ngắn hạn khác,86.366.081.776,42.749.344.292,128.366.081.776,99.574.777.449,86366081776.0,42749344292.0,128366081776.0,99574777449.0
,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác,,,,
b1) Đầu tư vào công ty liên kết,b. Đầu tư góp vốn vào đơn vị khác > b1) Đầu tư vào công ty liên kết,b1) Đầu tư vào công ty liên kết,137.500.000.000,-,137.500.000.000,-,137500000000.0,,137500000000.0,
- Cảng ty Cổ phần Quản lý Quỹ Đầu tư FPT,b. Đầu tư góp vốn vào đơn vị khác > - Cảng ty Cổ phần Quản lý Quỹ Đầu tư FPT,- Cảng ty Cổ phần Quản lý Quỹ Đầu tư FPT,27.500.000.000,-,27.500.000.000,-,27500000000.0,,27500000000.0,
- Cảng ty Cổ phần Chứng khoán FPT,b. Đầu tư góp vốn vào đơn vị khác > - Cảng ty Cổ phần Chứng khoán FPT,- Cảng ty Cổ phần Chứng khoán FPT,110.000.000.000,-,110.000.000.000,-,110000000000.0,,110000000000.0,
b2) Đầu tư dài hạn vào đơn vị khác,b. Đầu tư góp vốn vào đơn vị khác > b2) Đầu tư dài hạn vào đơn vị khác,b2) Đầu tư dài hạn vào đơn vị khác,756.802.393.141,(221.058.175.167),632.649.372.195,(176.177.677.251),756802393141.0,-221058175167.0,632649372195.0,-176177677251.0
- Quỹ đầu tư Việt Nhật,b. Đầu tư góp vốn vào đơn vị khác > - Quỹ đầu tư Việt Nhật,- Quỹ đầu tư Việt Nhật,-,-,44.870.000.000,(8.132.510.645),,,44870000000.0,-8132510645.0
- Quỹ đầu tư Việt Nam BVIM,b. Đầu tư góp vốn vào đơn vị khác > - Quỹ đầu tư Việt Nam BVIM,- Quỹ đầu tư Việt Nam BVIM,4.200.000.000,-,10.650.000.000,-,4200000000.0,,10650000000.0,
- Các khoản đầu tư khác,b. Đầu tư góp vốn vào đơn vị khác > - Các khoản đầu tư khác,- Các khoản đầu tư khác,752.602.393.141,(221.058.175.167),577.129.372.195,(168.045.166.606),752602393141.0,-221058175167.0,577129372195.0,-168045166606.0
