row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.128.166.105.134,4.721.674.392.537,83.286.558.714,907.272.149.621,96.673.170.409,6.937.072.376.415,1128166105134.0,4721674392537.0,83286558714.0,907272149621.0,96673170409.0,6937072376415.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,732.417.268,882.372.133.908,15.680.316.363,31.163.881.612,59.050.000,930.007.799.151,732417268.0,882372133908.0,15680316363.0,31163881612.0,59050000.0,930007799151.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,14.576.609.167,76.545.455.580,-,21.911.022,-,91.143.975.769,14576609167.0,76545455580.0,,21911022.0,,91143975769.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(12.166.315.054),(2.444.261.586),(10.093.156.215),(456.749.633),(25.160.482.488),,-12166315054.0,-2444261586.0,-10093156215.0,-456749633.0,-25160482488.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,177.971.734.944,(5.199.118.707),(114.216.611.286),(58.556.004.951),-,,177971734944.0,-5199118707.0,-114216611286.0,-58556004951.0,
Tăng/(Giảm) khác,NGUYÊN GIÁ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(4.089.784.958),(10.221.190.379),84.174.406,14.639.067.921,(1.448.637.160),(1.036.370.170),-4089784958.0,-10221190379.0,84174406.0,14639067921.0,-1448637160.0,-1036370170.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.139.385.346.611,5.836.176.211.536,91.407.669.190,828.787.242.675,36.270.828.665,7.932.027.298.677,1139385346611.0,5836176211536.0,91407669190.0,828787242675.0,36270828665.0,7932027298677.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,180.246.133.873,2.013.495.514.343,43.280.872.171,696.871.417.256,31.776.319.430,2.965.670.257.073,180246133873.0,2013495514343.0,43280872171.0,696871417256.0,31776319430.0,2965670257073.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,53.838.352.438,733.701.860.038,4.768.306.477,60.737.190.508,1.220.715.860,854.266.425.321,53838352438.0,733701860038.0,4768306477.0,60737190508.0,1220715860.0,854266425321.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(7.841.930.096),(2.444.261.586),(6.048.362.862),(411.417.164),(16.745.971.708),,-7841930096.0,-2444261586.0,-6048362862.0,-411417164.0,-16745971708.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,131.715.906.415,(5.199.118.707),(113.389.954.340),(13.126.833.368),-,,131715906415.0,-5199118707.0,-113389954340.0,-13126833368.0,
Tăng/(Giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(1.968.407.377),(7.362.002.448),(596.415.237),7.880.777.370,(415.952.743),(2.462.000.435),-1968407377.0,-7362002448.0,-596415237.0,7880777370.0,-415952743.0,-2462000435.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,232.116.078.934,2.863.709.348.252,39.809.383.118,646.051.067.932,19.042.832.015,3.800.728.710.251,232116078934.0,2863709348252.0,39809383118.0,646051067932.0,19042832015.0,3800728710251.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,907.269.267.677,2.972.466.863.284,51.598.286.072,182.736.174.743,17.227.996.650,4.131.298.588.426,907269267677.0,2972466863284.0,51598286072.0,182736174743.0,17227996650.0,4131298588426.0
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,947.919.971.261,2.708.178.878.194,40.005.686.543,210.400.732.365,64.896.850.979,3.971.402.119.342,947919971261.0,2708178878194.0,40005686543.0,210400732365.0,64896850979.0,3971402119342.0
