row_label_raw,row_label_full,col_0,Số cuối nămGiá gốcVND,Dự phòngVND,Số đầu nămGiá gốcVND,Dự phòngVND_1,numeric__Số cuối nămGiá gốcVND,numeric__Dự phòngVND,numeric__Số đầu nămGiá gốcVND,numeric__Dự phòngVND_1
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,416.075.802.077,-,463.819.057.341,-,416075802077.0,,463819057341.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",87.766.304.143,-,107.035.823.637,-,87766304143.0,,107035823637.0,
"Chi phí sản xuất, kinh doanh đồ dang","Chi phí sản xuất, kinh doanh đồ dang","Chi phí sản xuất, kinh doanh đồ dang",663.345.582.162,-,891.024.964.660,-,663345582162.0,,891024964660.0,
Hàng hoá,Hàng hoá,Hàng hoá,3.449.842.451.134,(63.221.663.567),3.870.151.808.724,(63.932.037.142),3449842451134.0,-63221663567.0,3870151808724.0,-63932037142.0
Cộng,Cộng,Cộng,4.617.030.139.516,(63.221.663.567),5.332.031.654.362,(63.932.037.142),4617030139516.0,-63221663567.0,5332031654362.0,-63932037142.0
