row_label_raw,row_label_full,col_0,1/1/2020VND,Số phải nộptrong nămVND,Số đã nộp/cấn trừtrong nămVND,Chuyển sangthuế phải thuVND,31/12/2020VND,numeric__1/1/2020VND,numeric__Số phải nộptrong nămVND,numeric__Số đã nộp/cấn trừtrong nămVND,numeric__Chuyển sangthuế phải thuVND,numeric__31/12/2020VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,
Thuế giá trị gia tăng,Thuế > Thuế giá trị gia tăng,Thuế giá trị gia tăng,6.028.802.732,168.423.100.718,(160.528.090.321),-,13.923.813.129,6028802732.0,168423100718.0,-160528090321.0,,13923813129.0
Thuế xuất nhập khẩu,Thuế > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,223.266.965,(223.266.965),-,-,,223266965.0,-223266965.0,,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,56.692.771.075,135.449.297.376,(141.121.771.075),(147.853.796),50.872.443.580,56692771075.0,135449297376.0,-141121771075.0,-147853796.0,50872443580.0
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,119.167.779,6.055.740.736,(5.146.478.013),-,1.028.430.502,119167779.0,6055740736.0,-5146478013.0,,1028430502.0
Thuế tài nguyên,Thuế > Thuế tài nguyên,Thuế tài nguyên,3.132.491.611,231.770.447.822,(198.404.832.451),-,36.498.106.982,3132491611.0,231770447822.0,-198404832451.0,,36498106982.0
Các loại thuế khác,Thuế > Các loại thuế khác,Các loại thuế khác,-,5.660.948.739,(5.643.507.159),-,17.441.580,,5660948739.0,-5643507159.0,,17441580.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,,
Phí dịch vụ môi trường rừng,Các khoản phải nộp khác > Phí dịch vụ môi trường rừng,Phí dịch vụ môi trường rừng,21.381.043.932,89.503.938.144,(88.012.272.384),-,22.872.709.692,21381043932.0,89503938144.0,-88012272384.0,,22872709692.0
Phí cấp quyền khai thác tài nguyên nước,Các khoản phải nộp khác > Phí cấp quyền khai thác tài nguyên nước,Phí cấp quyền khai thác tài nguyên nước,7.840.159.000,31.960.847.250,(31.832.834.583),-,7.968.171.667,7840159000.0,31960847250.0,-31832834583.0,,7968171667.0
,,,95.194.436.129,669.047.587.750,(630.913.052.951),(147.853.796),133.181.117.132,95194436129.0,669047587750.0,-630913052951.0,-147853796.0,133181117132.0
