row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định khác VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.752.778.896.612,5.904.396.542.963,73.289.581.056,49.968.782.801,253.880.507,14.780.687.683.939,8752778896612.0,5904396542963.0,73289581056.0,49968782801.0,253880507.0,14780687683939.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,10.284.840.196,419.933.364,3.263.299.999,-,13.968.073.559,,10284840196.0,419933364.0,3263299999.0,,13968073559.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,2.089.700.059,22.447.533.248,4.067.845.253,117.207.214,-,28.722.285.774,2089700059.0,22447533248.0,4067845253.0,117207214.0,,28722285774.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,3.837.870.082,3.878.553.952,135.284.035,-,7.851.708.069,,3837870082.0,3878553952.0,135284035.0,,7851708069.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,588.293.923,-,(588.293.923),-,-,,588293923.0,,-588293923.0,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(121.552.520),(612.960.000),(582.227.588),-,(1.316.740.108),,-121552520.0,-612960000.0,-582227588.0,,-1316740108.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,(1.640.066.532),-,-,-,(1.640.066.532),,-1640066532.0,,,,-1640066532.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.754.868.596.671,5.939.793.461.360,81.042.953.625,52.314.052.538,253.880.507,14.828.272.944.701,8754868596671.0,5939793461360.0,81042953625.0,52314052538.0,253880507.0,14828272944701.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.764.702.497.407,4.157.388.842.063,50.370.120.233,44.624.380.553,253.880.507,9.017.339.720.763,4764702497407.0,4157388842063.0,50370120233.0,44624380553.0,253880507.0,9017339720763.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,175.958.466.990,169.266.597.441,3.886.101.276,2.185.678.657,-,351.296.844.364,175958466990.0,169266597441.0,3886101276.0,2185678657.0,,351296844364.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(121.552.520),(612.960.000),(582.227.588),-,(1.316.740.108),,-121552520.0,-612960000.0,-582227588.0,,-1316740108.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.940.660.964.397,4.326.533.886.984,53.643.261.509,46.227.831.622,253.880.507,9.367.319.825.019,4940660964397.0,4326533886984.0,53643261509.0,46227831622.0,253880507.0,9367319825019.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.988.076.399.205,1.747.007.700.900,22.919.460.823,5.344.402.248,-,5.763.347.963.176,3988076399205.0,1747007700900.0,22919460823.0,5344402248.0,,5763347963176.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.814.207.632.274,1.613.259.574.376,27.399.692.116,6.086.220.916,-,5.460.953.119.682,3814207632274.0,1613259574376.0,27399692116.0,6086220916.0,,5460953119682.0
