row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Vốn khác VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,4.224.000.000.000,128.754.171.541,(48.049.098.769),5.670.476.932,1.481.250.828.449,50.771.676.244,5.842.398.054.397,4224000000000.0,128754171541.0,-48049098769.0,5670476932.0,1481250828449.0,50771676244.0,5842398054397.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.046.287.307.082,1.228.540.988,1.047.515.848.070,,,,,1046287307082.0,1228540988.0,1047515848070.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(718.080.000.000),(2.368.713.116),(720.448.713.116),,,,,-718080000000.0,-2368713116.0,-720448713116.0
Tạm ứng cổ tức,Tạm ứng cổ tức,Tạm ứng cổ tức,-,-,-,-,-,(991.286.884),(991.286.884),,,,,,-991286884.0,-991286884.0
Chuyển nguồn hình thành tài sản cổ định,Chuyển nguồn hình thành tài sản cổ định,Chuyển nguồn hình thành tài sản cổ định,-,274.085.717.563,-,(274.113.249.381),-,27.531.818,-,,274085717563.0,,-274113249381.0,,27531818.0,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,384.803.510.067,(384.839.053.933),35.543.866,-,,,,384803510067.0,-384839053933.0,35543866.0,
"Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,(18.101.500.000),-,(18.101.500.000),,,,,-18101500000.0,,-18101500000.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,39.596.498.429,-,-,-,39.596.498.429,,,39596498429.0,,,,39596498429.0
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,4.224.000.000.000,402.839.889.104,(8.452.600.340),116.360.737.618,1.406.517.581.598,48.703.292.916,6.189.968.900.896,4224000000000.0,402839889104.0,-8452600340.0,116360737618.0,1406517581598.0,48703292916.0,6189968900896.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,658.596.008.148,1.746.930.950,660.342.939.098,,,,,658596008148.0,1746930950.0,660342939098.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,-,-,(1.013.760.000.000),-,(1.013.760.000.000),,,,,-1013760000000.0,,-1013760000000.0
Chuyển nguồn hình thành tài sản cổ định,Chuyển nguồn hình thành tài sản cổ định,Chuyển nguồn hình thành tài sản cổ định,-,46.466.631.354,-,(46.592.611.363),-,125.980.009,-,,46466631354.0,,-46592611363.0,,125980009.0,
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,335.980.009,(300.000.000),(35.980.009),-,,,,335980009.0,-300000000.0,-35980009.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,-,(16.225.905.722),(99.461.988),(16.325.367.710),,,,,-16225905722.0,-99461988.0,-16325367710.0
Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),Chênh lệch tỷ giá hối đoái (Thuyết minh 21),-,-,(20.180.615.729),-,-,-,(20.180.615.729),,,-20180615729.0,,,,-20180615729.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,4.224.000.000.000,449.306.520.458,(28.633.216.069),70.104.106.264,1.034.827.684.024,50.440.761.878,5.800.045.856.555,4224000000000.0,449306520458.0,-28633216069.0,70104106264.0,1034827684024.0,50440761878.0,5800045856555.0
