row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Cổ phiếu quỹ Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Các quỹ khác (i) Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Các quỹ khác (i) Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,12.885.877,-,(665.725),875.703,2.493.570,323.796,5.104.678,21.017.899,12885877.0,,-665725.0,875703.0,2493570.0,323796.0,5104678.0,21017899.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,6.009.937,6.009.937,,,,,,,6009937.0,6009937.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,295.885,591.772,15.176,(902.833),-,,,,295885.0,591772.0,15176.0,-902833.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(100.000),(100.000),,,,,,,-100000.0,-100000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,3.741.496,-,-,-,-,-,(3.741.496),-,3741496.0,,,,,,-3741496.0,
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,271.779,565.744,-,-,-,-,837.523,,271779.0,565744.0,,,,,837523.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,16.627.373,271.779,(99.981),1.171.588,3.085.342,338.972,6.370.286,27.765.359,16627373.0,271779.0,-99981.0,1171588.0,3085342.0,338972.0,6370286.0,27765359.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.682.823,7.682.823,,,,,,,7682823.0,7682823.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,374.668,749.336,21.853,(1.145.857),-,,,,374668.0,749336.0,21853.0,-1145857.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(100.000),(100.000),,,,,,,-100000.0,-100000.0
Chia cổ tức bằng cổ phiếu(Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 20.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 20.3),4.988.212,-,-,-,-,-,(4.988.212),-,4988212.0,,,,,,-4988212.0,
Bán cổ phiếu quỹ (Thuyết minh 19(i)),Bán cổ phiếu quỹ (Thuyết minh 19(i)),Bán cổ phiếu quỹ (Thuyết minh 19(i)),-,-,99.981,-,-,-,-,99.981,,,99981.0,,,,,99981.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,21.615.585,271.779,-,1.546.256,3.834.678,360.825,7.819.040,35.448.163,21615585.0,271779.0,,1546256.0,3834678.0,360825.0,7819040.0,35448163.0
