row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,2.555.734,1.630.256,388.040,163.329,4.737.359,2555734.0,1630256.0,388040.0,163329.0,4737359.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.792,186.071,55.073,4.520,247.456,1792.0,186071.0,55073.0,4520.0,247456.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,45.217,-,-,-,45.217,45217.0,,,,45217.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(53.649),(18.185),(8.719),(80.553),,-53649.0,-18185.0,-8719.0,-80553.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.602.743,1.762.678,424.928,159.130,4.949.479,2602743.0,1762678.0,424928.0,159130.0,4949479.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,494.109,1.133.619,238.324,150.207,2.016.259,494109.0,1133619.0,238324.0,150207.0,2016259.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,67.716,185.346,36.248,6.390,295.700,67716.0,185346.0,36248.0,6390.0,295700.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(53.300),(17.388),(8.707),(79.395),,-53300.0,-17388.0,-8707.0,-79395.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,561.825,1.265.665,257.184,147.890,2.232.564,561825.0,1265665.0,257184.0,147890.0,2232564.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,2.061.625,496.637,149.716,13.122,2.721.100,2061625.0,496637.0,149716.0,13122.0,2721100.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.040.918,497.013,167.744,11.240,2.716.915,2040918.0,497013.0,167744.0,11240.0,2716915.0
