row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2019Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2019Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Mua sắm tài sản cố định (""TSCĐ"")",,(423.132),(535.261),,,-423132.0,-535261.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,3.336,22.135,,,3336.0,22135.0
04,04,04,Mua sắm bất động sản đầu tư,,(500),(139.339),,,-500.0,-139339.0
05,05,05,"Tiền thu từ thanh lý, nhượng bán bất động sản đầu tư",,7.220,-,,,7220.0,
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,-,58.100,,,,58100.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,17.573,28.522,,,17573.0,28522.0
II,II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(395.503),(565.843),,,-395503.0,-565843.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
02,02,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,29.400,196.000,,,29400.0,196000.0
03,03,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,(170.000),-,,,-170000.0,
06,06,06,Tiền thu được do bán cổ phiếu quỹ,,-,837.523,,,,837523.0
III,III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(140.600),1.033.523,,,-140600.0,1033523.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,10.343.158,6.282.582,,,10343158.0,6282582.0
V,V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,35.678.913,29.396.331,,,35678913.0,29396331.0
VII,VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,34,46.022.071,35.678.913,,34.0,46022071.0,35678913.0
