row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lý nợTriệu VND,Cho thuêtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lý nợTriệu VND,numeric__Cho thuêtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",6.437.803,-,9,-,-,-,6.437.812,6437803.0,,9.0,,,,6437812.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.713.599,55.790,7,823,-,-,3.770.219,3713599.0,55790.0,7.0,823.0,,,3770219.0
Tài sản khác,Tài sản > Tài sản khác,Tài sản khác,372.734.216,2.474.301,415.314,1.051.576,52.178,(3.421.177),373.306.408,372734216.0,2474301.0,415314.0,1051576.0,52178.0,-3421177.0,373306408.0
,,,382.885.618,2.530.091,415.330,1.052.399,52.178,(3.421.177),383.514.439,382885618.0,2530091.0,415330.0,1052399.0,52178.0,-3421177.0,383514439.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Nợ phải trả khách hàng bên ngoài,Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,353.202.472,656.521,17.914,709.647,474,(1.201.990),353.385.038,353202472.0,656521.0,17914.0,709647.0,474.0,-1201990.0,353385038.0
Nợ phải trả nội bộ,Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,1.048.555,6.718,71,3.076,270,-,1.058.690,1048555.0,6718.0,71.0,3076.0,270.0,,1058690.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,1.305.290,-,62,-,-,-,1.305.352,1305290.0,,62.0,,,,1305352.0
,,,355.556.317,663.239,18.047,712.723,744,(1.201.990),355.749.080,355556317.0,663239.0,18047.0,712723.0,744.0,-1201990.0,355749080.0
