row_label_raw,row_label_full,col_0,Triệu VND,numeric__Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,148.354,148354.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,500,500.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(9.019),-9019.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,139.835,139835.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,3.201,3201.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,6.873,6873.0
Thanh lý trong năm,Khấu hao lũy kế > Thanh lý trong năm,Thanh lý trong năm,(2.494),-2494.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,7.580,7580.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,145.153,145153.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,132.255,132255.0
