row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2020 Triệu VND,Tại ngày > 31.12.2019 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2020 Triệu VND,numeric__Tại ngày > 31.12.2019 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,6.967.918,6.437.812,,4.0,6967918.0,6437812.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,5,16.616.798,10.420.306,,5.0,16616798.0,10420306.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,31.671.245,30.341.599,,6.0,31671245.0,30341599.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,6.1,23.311.116,19.390.796,,61.0,23311116.0,19390796.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,6.1,8.360.129,11.051.317,,61.0,8360129.0,11051317.0
3,A > 3,3,Dự phòng rủi ro,6.3,-,(100.514),,63.0,,-100514.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,6.167.917,2.985.262,,7.0,6167917.0,2985262.0
1,A > 1,1,Chứng khoán kinh doanh,,6.285.763,3.145.903,,,6285763.0,3145903.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(117.846),(160.641),,,-117846.0,-160641.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,54.473,87.753,,8.0,54473.0,87753.0
VI,A > VI,VI,Cho vay khách hàng,9,308.528.625,266.164.852,,9.0,308528625.0,266164852.0
1,A > 1,1,Cho vay khách hàng,,311.478.989,268.700.541,,,311478989.0,268700541.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9.7,(2.950.364),(2.535.689),,97.0,-2950364.0,-2535689.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,63.399.011,55.956.160,,10.0,63399011.0,55956160.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10.1,10.790.432,10.601.503,,101.0,10790432.0,10601503.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10.1,53.048.264,45.821.522,,101.0,53048264.0,45821522.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,10.3,(439.685),(466.865),,103.0,-439685.0,-466865.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,99.489,97.884,,11.0,99489.0,97884.0
2,A > 2,2,Vốn góp liên doanh,11.2,856,902,,112.0,856.0,902.0
3,A > 3,3,Đầu tư vào công ty liên kết,11.2,2.111,539,,112.0,2111.0,539.0
4,A > 4,4,Đầu tư dài hạn khác,11.3,101.827,101.827,,113.0,101827.0,101827.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,11.4,(5.305),(5.384),,114.0,-5305.0,-5384.0
X,A > X,X,Tài sản cố định,12,3.782.753,3.770.219,,12.0,3782753.0,3770219.0
1,A > 1,1,Tài sản cố định hữu hình,12.1,2.716.915,2.721.100,,121.0,2716915.0,2721100.0
a,A > a,a,Nguyên giá tài sản cố định,,4.949.479,4.737.359,,,4949479.0,4737359.0
b,A > b,b,Hao mòn tài sản cố định,,(2.232.564),(2.016.259),,,-2232564.0,-2016259.0
3,A > 3,3,Tài sản cố định vô hình,12.2,1.065.838,1.049.119,,122.0,1065838.0,1049119.0
a,A > a,a,Nguyên giá tài sản cố định,,1.495.882,1.409.414,,,1495882.0,1409414.0
b,A > b,b,Hao mòn tài sản cố định,,(430.044),(360.295),,,-430044.0,-360295.0
XI,A > XI,XI,Bất động sản đầu tư,13,348.778,361.676,,13.0,348778.0,361676.0
a,A > a,a,Nguyên giá bất động sản đầu tư,,356.358,364.877,,,356358.0,364877.0
b,A > b,b,Hao mòn bất động sản đầu tư,,(7.580),(3.201),,,-7580.0,-3201.0
XII,A > XII,XII,Tài sản Có khác,14,6.893.097,6.890.916,,14.0,6893097.0,6890916.0
1,A > 1,1,Các khoản phải thu,14.1,3.045.690,3.740.459,,141.0,3045690.0,3740459.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,3.638.207,3.676.311,,,3638207.0,3676311.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,14.4,50.724,23.041,,144.0,50724.0,23041.0
4,A > 4,4,Tài sản Có khác,14.2,1.115.297,1.054.539,,142.0,1115297.0,1054539.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,14.3,(956.821),(1.603.434),,143.0,-956821.0,-1603434.0
,,,TỔNG TÀI SẢN,,444.530.104,383.514.439,,,444530104.0,383514439.0
