row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2020 Triệu VND,Tại ngày > 31.12.2019 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2020 Triệu VND,numeric__Tại ngày > 31.12.2019 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,15,23.875.242,19.248.572,,15.0,23875242.0,19248572.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,15.081.349,16.673.949,,,15081349.0,16673949.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,8.793.893,2.574.623,,,8793893.0,2574623.0
III,B > III,III,Tiền gửi của khách hàng,16,353.195.838,308.129.391,,16.0,353195838.0,308129391.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,116.705,156.147,,17.0,116705.0,156147.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,22.049.697,20.830.836,,18.0,22049697.0,20830836.0
VII,B > VII,VII,Các khoản nợ khác,,9.844.459,7.384.134,,,9844459.0,7384134.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,5.097.042,4.362.770,,,5097042.0,4362770.0
2,B > 2,2,Thuế TNDN hoãn lại phải trả,,67,-,,,67.0,
3,B > 3,3,Các khoản phải trả và công nợ khác,19,4.747.350,3.021.364,,19.0,4747350.0,3021364.0
,,,TỔNG NỘ PHẢI TRẢ,,409.081.941,355.749.080,,,409081941.0,355749080.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,20,35.448.163,27.765.359,,20.0,35448163.0,27765359.0
1,B > 1,1,Vốn của tổ chức tín dụng,20.1,21.887.364,16.799.171,,201.0,21887364.0,16799171.0
a,B > a,a,Vốn điều lệ,,21.615.585,16.627.373,,,21615585.0,16627373.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
d,B > d,d,Cổ phiếu quỹ,,-,(99.981),,,,-99981.0
2,B > 2,2,Quỹ của tổ chức tín dụng,20.1,5.741.759,4.595.902,,201.0,5741759.0,4595902.0
5,B > 5,5,Lợi nhuận chưa phân phối,20.1,7.819.040,6.370.286,,201.0,7819040.0,6370286.0
a,B > a,a,Lợi nhuận năm nay,,6.537.045,5.107.104,,,6537045.0,5107104.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,1.281.995,1.263.182,,,1281995.0,1263182.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,35.448.163,27.765.359,,,35448163.0,27765359.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,444.530.104,383.514.439,,,444530104.0,383514439.0
