row_label_raw,row_label_full,col_0,col_1,01/01/2023 > Giá trị,01/01/2023 > Dự phòng,Trong năm > Tăng,Trong năm > Giảm,31/12/2023 > Giá trị,31/12/2023 > Dự phòng,numeric__col_1,numeric__01/01/2023 > Giá trị,numeric__01/01/2023 > Dự phòng,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2023 > Giá trị,numeric__31/12/2023 > Dự phòng
,,,,VND,VND,VND,VND,VND,VND,,,,,,,
b),b),b),Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,,,,
,,,Bên liên quan,173.907.433.144,(81.864.537.653),-,78.762.044.189,95.145.388.955,(34.400.000.000),,173907433144.0,-81864537653.0,,78762044189.0,95145388955.0,-34400000000.0
,,,- Công ty Cổ phần Gỗ MDF VRG Kiên Giang,81.864.537.653,(81.864.537.653),-,47.464.537.653,34.400.000.000,(34.400.000.000),,81864537653.0,-81864537653.0,,47464537653.0,34400000000.0,-34400000000.0
,,,- Công ty TNHH MTV Cao su Quảng Ngãi,3.959.686.322,-,-,494.963.792,3.464.722.530,-,,3959686322.0,,,494963792.0,3464722530.0,
,,,- Công ty TNHH MTV Cao su Kon Tum,18.668.456.697,-,-,9.334.228.714,9.334.227.983,-,,18668456697.0,,,9334228714.0,9334227983.0,
,,,- Công ty TNHH MTV Cao su Bình Thuận,12.473.381.378,-,-,1.559.181.666,10.914.199.712,-,,12473381378.0,,,1559181666.0,10914199712.0,
,,,- Công ty TNHH MTV Cao su Krông Buk,1.778.006.170,-,-,889.003.078,889.003.092,-,,1778006170.0,,,889003078.0,889003092.0,
,,,- Công ty TNHH MTV Cao su Eah Leo,2.549.660.537,-,-,1.274.830.264,1.274.830.273,-,,2549660537.0,,,1274830264.0,1274830273.0,
,,,- Công ty TNHH MTV Cao su Chư Pãh,11.645.746.579,-,-,5.867.322.678,5.778.423.901,-,,11645746579.0,,,5867322678.0,5778423901.0,
,,,- Công ty TNHH MTV Cao su Chư Prông,4.254.536.126,-,-,2.127.268.060,2.127.268.066,-,,4254536126.0,,,2127268060.0,2127268066.0,
,,,- Công ty TNHH MTV Cao su Chư Sê,4.041.023.276,-,-,2.020.511.618,2.020.511.658,-,,4041023276.0,,,2020511618.0,2020511658.0,
,,,- Công ty TNHH MTV Cao su Mang Yang,9.447.724.519,-,-,4.827.111.942,4.620.612.577,-,,9447724519.0,,,4827111942.0,4620612577.0,
,,,- Công ty TNHH MTV Cao su Quảng Nam,10.815.032.553,-,-,1.351.884.074,9.463.148.479,-,,10815032553.0,,,1351884074.0,9463148479.0,
,,,- Công ty TNHH MTV Cao su Hà Tĩnh,7.912.067.150,-,-,989.006.650,6.923.060.500,-,,7912067150.0,,,989006650.0,6923060500.0,
,,,- Công ty TNHH MTV Cao su Thanh Hóa,4.497.574.184,-,-,562.194.000,3.935.380.184,-,,4497574184.0,,,562194000.0,3935380184.0,
,,,Bên khác: Các khoản cho vay sáp nhập từ Công ty Tài chính Cao su Việt Nam,740.712.676.022,(389.332.925.100),-,7.788.245.066,732.924.430.956,(384.950.516.100),,740712676022.0,-389332925100.0,,7788245066.0,732924430956.0,-384950516100.0
,,,- Cho vay theo hình thức Repo cổ phiếu,51.796.359.215,(47.161.399.215),-,60.000.000,51.736.359.215,(45.057.159.215),,51796359215.0,-47161399215.0,,60000000.0,51736359215.0,-45057159215.0
,,,+ Tô Đình Chiến,16.496.910.403,(16.496.910.403),-,-,16.496.910.403,(16.496.910.403),,16496910403.0,-16496910403.0,,,16496910403.0,-16496910403.0
,,,+ Công ty CP Đầu tư Kiến Quân,16.000.000.000,(16.000.000.000),-,-,16.000.000.000,(16.000.000.000),,16000000000.0,-16000000000.0,,,16000000000.0,-16000000000.0
,,,+ Vương Đáng,367.528.611,(367.528.611),-,60.000.000,307.528.611,(307.528.611),,367528611.0,-367528611.0,,60000000.0,307528611.0,-307528611.0
,,,+ Lê Thanh Nhã,18.931.920.201,(14.296.960.201),-,-,18.931.920.201,(12.252.720.201),,18931920201.0,-14296960201.0,,,18931920201.0,-12252720201.0
,,,- Các khách hàng khác,688.916.316.807,(342.171.525.885),-,7.728.245.066,681.188.071.741,(339.893.356.885),,688916316807.0,-342171525885.0,,7728245066.0,681188071741.0,-339893356885.0
,,,,914.620.109.166,(471.197.462.753),-,86.550.289.255,828.069.819.911,(419.350.516.100),,914620109166.0,-471197462753.0,,86550289255.0,828069819911.0,-419350516100.0
