row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2023,Năm 2022(Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2023,numeric__Năm 2022(Trình bày lại)
,,,,,VND,VND,,,,
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,21,2.239.883.699.616,1.713.971.779.183,,21.0,2239883699616.0,1713971779183.0
02,02,02,2. Các khoản giảm trừ doanh thu,,1.315.771.569,-,,,1315771569.0,
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,2.238.567.928.047,1.713.971.779.183,,,2238567928047.0,1713971779183.0
11,11,11,4. Giá vốn hàng bán,22,2.147.750.619.277,1.624.754.056.251,,22.0,2147750619277.0,1624754056251.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,90.817.308.770,89.217.722.932,,,90817308770.0,89217722932.0
21,21,21,6. Doanh thu hoạt động tài chính,23,1.739.520.446.855,2.127.151.616.259,,23.0,1739520446855.0,2127151616259.0
22,22,22,7. Chi phí tài chính,24,210.022.404.268,298.328.070.331,,24.0,210022404268.0,298328070331.0
23,23,23,Trong đó: Chi phí lãi vay,,7.089.147.192,9.884.975.095,,,7089147192.0,9884975095.0
25,25,25,8. Chi phí bán hàng,25,6.080.587.111,3.191.312.516,,25.0,6080587111.0,3191312516.0
26,26,26,9. Chi phí quản lý doanh nghiệp,26,183.346.600.178,181.835.726.938,,26.0,183346600178.0,181835726938.0
30,30,30,10. Lợi nhuận thuần từ hoạt động kinh doanh,,1.430.888.164.068,1.733.014.229.406,,,1430888164068.0,1733014229406.0
31,31,31,11. Thu nhập khác,27,2.258.971.297,9.321.241.181,,27.0,2258971297.0,9321241181.0
32,32,32,12. Chi phí khác,,49.673.317,4.585.349.285,,,49673317.0,4585349285.0
40,40,40,13. Lợi nhuận khác,,2.209.297.980,4.735.891.896,,,2209297980.0,4735891896.0
50,50,50,14. Tổng lợi nhuận kế toán trước thuế,,1.433.097.462.048,1.737.750.121.302,,,1433097462048.0,1737750121302.0
51,51,51,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,28,-,-,,28.0,,
60,60,60,16. Lợi nhuận sau thuế thu nhập doanh nghiệp,,1.433.097.462.048,1.737.750.121.302,,,1433097462048.0,1737750121302.0
