row_label_raw,row_label_full,col_0,Mã chứng khoán,31/12/2023 > Giá gốcVND,31/12/2023 > Giá trị hợp lýVND,31/12/2023 > Dự phòngVND,01/01/2023(Trình bày lại) > Giá gốcVND,01/01/2023(Trình bày lại) > Giá trị hợp lýVND,01/01/2023(Trình bày lại) > Dự phòngVND,numeric__Mã chứng khoán,numeric__31/12/2023 > Giá gốcVND,numeric__31/12/2023 > Giá trị hợp lýVND,numeric__31/12/2023 > Dự phòngVND,numeric__01/01/2023(Trình bày lại) > Giá gốcVND,numeric__01/01/2023(Trình bày lại) > Giá trị hợp lýVND,numeric__01/01/2023(Trình bày lại) > Dự phòngVND
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,,,,
- Xí nghiệp Liên doanh Visorutex,Đầu tư vào Công ty liên kết > - Xí nghiệp Liên doanh Visorutex,- Xí nghiệp Liên doanh Visorutex,,8.749.737.281,,(5.191.015.457),8.749.737.281,,(4.473.412.618),,8749737281.0,,-5191015457.0,8749737281.0,,-4473412618.0
- Công ty Cổ phần Khu công nghiệp Nam Tân Uyên (1),Đầu tư vào Công ty liên kết > - Công ty Cổ phần Khu công nghiệp Nam Tân Uyên (1),- Công ty Cổ phần Khu công nghiệp Nam Tân Uyên (1),NTC,40.784.285.192,945.796.500.000,-,40.784.285.192,572.623.425.000,-,,40784285192.0,945796500000.0,,40784285192.0,572623425000.0,
- Công ty Cổ phần Cao su Việt Lào,Đầu tư vào Công ty liên kết > - Công ty Cổ phần Cao su Việt Lào,- Công ty Cổ phần Cao su Việt Lào,,170.591.892.366,,(29.543.619.751),170.591.892.366,,-,,170591892366.0,,-29543619751.0,170591892366.0,,
- Công ty Cổ phần Cao su Bến Thành (1),Đầu tư vào Công ty liên kết > - Công ty Cổ phần Cao su Bến Thành (1),- Công ty Cổ phần Cao su Bến Thành (1),BRC,57.440.573.000,73.152.461.800,-,57.440.573.000,61.665.711.600,-,,57440573000.0,73152461800.0,,57440573000.0,61665711600.0,
- Công ty Cổ phần Cao su Tân Biên Kampongthom,Đầu tư vào Công ty liên kết > - Công ty Cổ phần Cao su Tân Biên Kampongthom,- Công ty Cổ phần Cao su Tân Biên Kampongthom,,607.745.965.312,,-,607.745.965.312,,-,,607745965312.0,,,607745965312.0,,
- Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,Đầu tư vào Công ty liên kết > - Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,- Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,,23.439.624.115,,-,-,,-,,23439624115.0,,,,,
- Công ty Cổ phần Cao su Đồng Nai Kratie,Đầu tư vào Công ty liên kết > - Công ty Cổ phần Cao su Đồng Nai Kratie,- Công ty Cổ phần Cao su Đồng Nai Kratie,,198.760.920.280,,(7.834.759.276),198.760.920.280,,(15.449.968.142),,198760920280.0,,-7834759276.0,198760920280.0,,-15449968142.0
- Công ty Cổ phần Cao su Đồng Phú Kratie,Đầu tư vào Công ty liên kết > - Công ty Cổ phần Cao su Đồng Phú Kratie,- Công ty Cổ phần Cao su Đồng Phú Kratie,,295.203.752.360,,-,295.203.752.360,,-,,295203752360.0,,,295203752360.0,,
- Công ty Cổ phần Gỗ MDF VRG - Dongwha,Đầu tư vào Công ty liên kết > - Công ty Cổ phần Gỗ MDF VRG - Dongwha,- Công ty Cổ phần Gỗ MDF VRG - Dongwha,,1.004.392.840.663,,-,1.004.392.840.663,,-,,1004392840663.0,,,1004392840663.0,,
