row_label_raw,row_label_full,col_0,Mã chứng khoán,31/12/2023 > Giá gốc,31/12/2023 > Giá trị hợp lý,31/12/2023 > Dự phòng,01/01/2023(Trình bày lại) > Giá gốc,01/01/2023(Trình bày lại) > Giá trị hợp lý,01/01/2023(Trình bày lại) > Dự phòng,numeric__Mã chứng khoán,numeric__31/12/2023 > Giá gốc,numeric__31/12/2023 > Giá trị hợp lý,numeric__31/12/2023 > Dự phòng,numeric__01/01/2023(Trình bày lại) > Giá gốc,numeric__01/01/2023(Trình bày lại) > Giá trị hợp lý,numeric__01/01/2023(Trình bày lại) > Dự phòng
Công ty con đầu tư trên 50% vốn,Công ty con đầu tư trên 50% vốn,Công ty con đầu tư trên 50% vốn,,VND,VND,VND,VND,VND,VND,,,,,,,
- Công ty Cổ phần Cao su Bà Rịa (1),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Bà Rịa (1),- Công ty Cổ phần Cao su Bà Rịa (1),BRR,1.096.524.000.000,1.864.090.800.000,-,1.096.524.000.000,2.643.719.364.000,-,,1096524000000.0,1864090800000.0,,1096524000000.0,2643719364000.0,
- Công ty Cổ phần Cao su Tân Biên (1),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Tân Biên (1),- Công ty Cổ phần Cao su Tân Biên (1),RTB,865.905.530.000,1.515.334.677.500,-,865.905.530.000,1.912.785.315.770,-,,865905530000.0,1515334677500.0,,865905530000.0,1912785315770.0,
- Công ty Cổ phần VRG - Báo Lộc,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần VRG - Báo Lộc,- Công ty Cổ phần VRG - Báo Lộc,,245.618.689.229,,-,245.618.689.229,,-,,245618689229.0,,,245618689229.0,,
- Công ty Cổ phần Gỗ MDF Geruco Quảng Trị (1),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Gỗ MDF Geruco Quảng Trị (1),- Công ty Cổ phần Gỗ MDF Geruco Quảng Trị (1),MDF,303.951.362.000,453.588.955.600,-,303.951.362.000,498.012.616.200,-,,303951362000.0,453588955600.0,,303951362000.0,498012616200.0,
- Công ty Cổ phần Thủy điện Geruco Sông Côn (3),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Thủy điện Geruco Sông Côn (3),- Công ty Cổ phần Thủy điện Geruco Sông Côn (3),,191.250.000.000,,-,191.250.000.000,,-,,191250000000.0,,,191250000000.0,,
- Công ty Cổ phần Công nghiệp và XNK Cao su,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Công nghiệp và XNK Cao su,- Công ty Cổ phần Công nghiệp và XNK Cao su,RBC,89.540.605.515,,-,89.540.605.515,,-,,89540605515.0,,,89540605515.0,,
- Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên (3),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên (3),- Công ty Cổ phần Đầu tư Thủy điện VRG - Phú Yên (3),,269.179.671.747,,(24.107.929.184),269.179.671.747,,(24.628.198.237),,269179671747.0,,-24107929184.0,269179671747.0,,-24628198237.0
- Công ty Cổ phần VRG - ĐắkNông (3),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần VRG - ĐắkNông (3),- Công ty Cổ phần VRG - ĐắkNông (3),,206.085.048.366,,-,206.085.048.366,,-,,206085048366.0,,,206085048366.0,,
- Công ty Cổ phần Thế thao Ngôi sao Geru (1),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Thế thao Ngôi sao Geru (1),- Công ty Cổ phần Thế thao Ngôi sao Geru (1),GER,6.232.160.000,,-,6.232.160.000,,-,,6232160000.0,,,6232160000.0,,
- Công ty Cổ phần Cao su Sa Thầy,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Sa Thầy,- Công ty Cổ phần Cao su Sa Thầy,,404.916.761.911,,-,404.916.761.911,,-,,404916761911.0,,,404916761911.0,,
- Công ty Cổ phần Cao su Son La,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Son La,- Công ty Cổ phần Cao su Son La,,723.532.016.495,,(49.521.010.508),723.532.016.495,,(27.684.009.254),,723532016495.0,,-49521010508.0,723532016495.0,,-27684009254.0
- Công ty Cổ phần Cao su Tây Ninh (1),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Tây Ninh (1),- Công ty Cổ phần Cao su Tây Ninh (1),TRC,390.600.000.000,559.800.000.000,-,390.600.000.000,549.000.000.000,-,,390600000000.0,559800000000.0,,390600000000.0,549000000000.0,
- Công ty Cổ phần Cao su Đồng Phú (1),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Đồng Phú (1),- Công ty Cổ phần Cao su Đồng Phú (1),DPR,840.000.000.000,1.516.800.000.000,-,840.000.000.000,1.272.000.000.000,-,,840000000000.0,1516800000000.0,,840000000000.0,1272000000000.0,
- Công ty Cổ phần Cơ khí Cao Su,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cơ khí Cao Su,- Công ty Cổ phần Cơ khí Cao Su,,19.442.138.245,,-,19.442.138.245,,-,,19442138245.0,,,19442138245.0,,
- Công ty Cổ phần Cao su Hà Giang,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Hà Giang,- Công ty Cổ phần Cao su Hà Giang,,283.548.428.712,,(10.372.389.982),283.548.428.712,,(8.039.373.164),,283548428712.0,,-10372389982.0,283548428712.0,,-8039373164.0
- Công ty Cổ phần Quasa Geruco,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Quasa Geruco,- Công ty Cổ phần Quasa Geruco,,602.466.062.679,,(411.324.355.402),602.466.062.679,,(326.543.464.746),,602466062679.0,,-411324355402.0,602466062679.0,,-326543464746.0
- Công ty Cổ phần Cao su Lai Châu,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Lai Châu,- Công ty Cổ phần Cao su Lai Châu,,837.737.046.488,,(22.092.413.809),837.737.046.488,,(11.172.967.779),,837737046488.0,,-22092413809.0,837737046488.0,,-11172967779.0
- Công ty Cổ phần Cao su Điện Biên,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Điện Biên,- Công ty Cổ phần Cao su Điện Biên,,420.686.216.787,,-,420.686.216.787,,-,,420686216787.0,,,420686216787.0,,
- Công ty Cổ phần Cao su Phước Hòa (1),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Phước Hòa (1),- Công ty Cổ phần Cao su Phước Hòa (1),PHR,1.126.494.844.800,4.486.121.297.000,-,1.126.494.844.800,3.556.401.994.000,-,,1126494844800.0,4486121297000.0,,1126494844800.0,3556401994000.0,
- Công ty Cổ phần Cao su Lai Châu II,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Lai Châu II,- Công ty Cổ phần Cao su Lai Châu II,,670.092.314.721,,(15.735.744.908),670.092.314.721,,(9.748.928.687),,670092314721.0,,-15735744908.0,670092314721.0,,-9748928687.0
- Công ty Cổ phần Cao su Yên Bái,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Yên Bái,- Công ty Cổ phần Cao su Yên Bái,,349.410.546.000,,(5.330.985.043),349.410.546.000,,(2.328.652.109),,349410546000.0,,-5330985043.0,349410546000.0,,-2328652109.0
- Công ty Cổ phần Cao su Hòa Bình (1),Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Cao su Hòa Bình (1),- Công ty Cổ phần Cao su Hòa Bình (1),HRC,502.951.680.000,1.074.427.200.000,-,502.951.680.000,914.760.000.000,-,,502951680000.0,1074427200000.0,,502951680000.0,914760000000.0,
- Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,- Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,,37.174.406.372,,(26.031.804.849),37.174.406.372,,(26.213.382.794),,37174406372.0,,-26031804849.0,37174406372.0,,-26213382794.0
- Công ty Cổ phần VRG Khải Hoàn,Công ty con đầu tư trên 50% vốn > - Công ty Cổ phần VRG Khải Hoàn,- Công ty Cổ phần VRG Khải Hoàn,,159.839.357.271,,-,159.839.357.271,,-,,159839357271.0,,,159839357271.0,,
