row_label_raw,row_label_full,Mã số,Khoản mục,Đã trình bày trên báo cáo tài chính tại 31/12/2022,Số liệu sau điều chỉnh,Chênh lệch,numeric__Khoản mục,numeric__Đã trình bày trên báo cáo tài chính tại 31/12/2022,numeric__Số liệu sau điều chỉnh,numeric__Chênh lệch
,,,,VND,VND,VND,,,,
a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,a/ Bảng Cân đối kế toán riêng,,,,
136,a/ Bảng Cân đối kế toán riêng > 136,136,Phải thu ngắn hạn khác,1.515.844.755.820,1.536.058.440.456,20.213.684.636,,1515844755820.0,1536058440456.0,20213684636.0
137,a/ Bảng Cân đối kế toán riêng > 137,137,Dự phòng phải thu ngắn hạn khó đòi,(213.262.185.390),(210.200.538.229),3.061.647.161,,-213262185390.0,-210200538229.0,3061647161.0
254,a/ Bảng Cân đối kế toán riêng > 254,254,Dự phòng giảm giá đầu tư tài chính,(1.073.872.964.638),(1.071.984.026.624),1.888.938.014,,-1073872964638.0,-1071984026624.0,1888938014.0
313,a/ Bảng Cân đối kế toán riêng > 313,313,Thuế và các khoản phải nộp Nhà nước,571.130.505,11.128.900.505,10.557.770.000,,571130505.0,11128900505.0,10557770000.0
319,a/ Bảng Cân đối kế toán riêng > 319,319,Phải trả ngắn hạn khác,155.500.654.124,144.942.884.124,(10.557.770.000),,155500654124.0,144942884124.0,-10557770000.0
421,a/ Bảng Cân đối kế toán riêng > 421,421,Lợi nhuận sau thuế chưa phân phối,1.730.644.046.924,1.755.808.316.735,25.164.269.811,,1730644046924.0,1755808316735.0,25164269811.0
b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,,,,
21,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > 21,21,Doanh thu hoạt động tài chính,2.121.934.479.895,2.127.151.616.259,5.217.136.364,,2121934479895.0,2127151616259.0,5217136364.0
22,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > 22,22,Chi phí tài chính,300.217.008.345,298.328.070.331,(1.888.938.014),,300217008345.0,298328070331.0,-1888938014.0
50,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > 50,50,Tổng lợi nhuận kế toán trước thuế,1.730.644.046.924,1.737.750.121.302,7.106.074.378,,1730644046924.0,1737750121302.0,7106074378.0
60,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > 60,60,Lợi nhuận sau thuế thu nhập doanh nghiệp,1.730.644.046.924,1.737.750.121.302,7.106.074.378,,1730644046924.0,1737750121302.0,7106074378.0
