row_label_raw,row_label_full,col_0,31/12/2023 > Giá trịVND,31/12/2023 > Dự phòngVND,01/01/2023(Trình bày lại) > Giá trịVND,01/01/2023(Trình bày lại) > Dự phòngVND,numeric__31/12/2023 > Giá trịVND,numeric__31/12/2023 > Dự phòngVND,numeric__01/01/2023(Trình bày lại) > Giá trịVND,numeric__01/01/2023(Trình bày lại) > Dự phòngVND
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,
Phải thu khác tại Văn phòng Tập đoàn,a) Ngắn hạn > Phải thu khác tại Văn phòng Tập đoàn,Phải thu khác tại Văn phòng Tập đoàn,1.310.205.229.791,(12.168.944.713),1.530.296.968.647,(10.407.399.709),1310205229791.0,-12168944713.0,1530296968647.0,-10407399709.0
- Phải thu về ứng vốn kinh doanh,a) Ngắn hạn > - Phải thu về ứng vốn kinh doanh,- Phải thu về ứng vốn kinh doanh,6.922.169.876,-,6.922.169.876,-,6922169876.0,,6922169876.0,
- Phải thu tiền bán mũ cao su ủy thác,a) Ngắn hạn > - Phải thu tiền bán mũ cao su ủy thác,- Phải thu tiền bán mũ cao su ủy thác,8.867.695.853,-,7.684.293.342,-,8867695853.0,,7684293342.0,
"- Phải thu cổ tức, lợi nhuận được chia","a) Ngắn hạn > - Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia",158.016.272.303,(8.752.000.000),521.638.191.774,(8.752.000.000),158016272303.0,-8752000000.0,521638191774.0,-8752000000.0
- Phải thu tiền lãi dự thu,a) Ngắn hạn > - Phải thu tiền lãi dự thu,- Phải thu tiền lãi dự thu,48.070.868.767,(3.416.944.713),39.983.719.415,(1.655.399.709),48070868767.0,-3416944713.0,39983719415.0,-1655399709.0
- Phải thu lãi cho vay vốn AFD,a) Ngắn hạn > - Phải thu lãi cho vay vốn AFD,- Phải thu lãi cho vay vốn AFD,2.317.948.835,-,6.668.824.480,-,2317948835.0,,6668824480.0,
- Phải thu lợi nhuận tập trung,a) Ngắn hạn > - Phải thu lợi nhuận tập trung,- Phải thu lợi nhuận tập trung,962.748.011.701,-,829.354.055.310,-,962748011701.0,,829354055310.0,
- Phải thu tạm ứng,a) Ngắn hạn > - Phải thu tạm ứng,- Phải thu tạm ứng,1.196.256.649,-,2.041.100.000,-,1196256649.0,,2041100000.0,
"- Cảm cổ, thế chấp, ký quỹ, ký cược","a) Ngắn hạn > - Cảm cổ, thế chấp, ký quỹ, ký cược","- Cảm cổ, thế chấp, ký quỹ, ký cược",33.145.115.907,-,15.014.165.980,-,33145115907.0,,15014165980.0,
