row_label_raw,row_label_full,Đầu tư vào đơn vị khác > - Công ty Cổ phần Phát triển Đô thị và Khu công nghiệp Cao su Việt Nam (1),Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,31/12/2023 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,31/12/2023 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 103.105.702.400,31/12/2023 > Dự phòngVND > Đầu tư vào đơn vị khác > -,01/01/2023(Trình bày lại) > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,01/01/2023(Trình bày lại) > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 269.665.794.133,01/01/2023(Trình bày lại) > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__Mã chứng khoán > Đầu tư vào đơn vị khác > VRG,numeric__31/12/2023 > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,numeric__31/12/2023 > Giá trị hợp lý > Đầu tư vào đơn vị khác > 103.105.702.400,numeric__31/12/2023 > Dự phòngVND > Đầu tư vào đơn vị khác > -,numeric__01/01/2023(Trình bày lại) > Giá gốcVND > Đầu tư vào đơn vị khác > 9.743.200.000,numeric__01/01/2023(Trình bày lại) > Giá trị hợp lýVND > Đầu tư vào đơn vị khác > 269.665.794.133,numeric__01/01/2023(Trình bày lại) > Dự phòngVND > Đầu tư vào đơn vị khác > -
- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),- Công ty Cổ phần Chế biến Gỗ Thuận An (1),GTA,18.329.722.400,16.653.223.400,(1.676.499.000),18.329.722.400,13.523.758.600,(4.805.963.800),,18329722400.0,16653223400.0,-1676499000.0,18329722400.0,13523758600.0,-4805963800.0
- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,- Công ty Cổ phần Du lịch Quốc tế Vũng Tàu,VIR,3.850.000.000,,(215.512.850),3.850.000.000,,(326.439.295),,3850000000.0,,-215512850.0,3850000000.0,,-326439295.0
- Công ty Cổ phần EVN Quốc tế (1),- Công ty Cổ phần EVN Quốc tế (1),- Công ty Cổ phần EVN Quốc tế (1),EIC,44.118.073.392,104.716.800.000,-,44.118.073.392,87.350.400.000,-,,44118073392.0,104716800000.0,,44118073392.0,87350400000.0,
- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,- Công ty Cổ phần Điện Việt Lào,,79.567.924.335,,-,79.567.924.335,,-,,79567924335.0,,,79567924335.0,,
- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),- Tổng Công ty Xây dựng và Thủy lợi 4 - CTCP (1),TL4,24.418.782.000,19.589.289.560,(4.829.492.440),24.418.782.000,16.288.231.993,(8.131.454.406),,24418782000.0,19589289560.0,-4829492440.0,24418782000.0,16288231993.0,-8131454406.0
- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,- Công ty Cổ phần BOT Quốc lộ 13 An Lộc - Hoa Lư,,23.082.813.181,,(23.082.813.181),23.082.813.181,,(23.082.813.181),,23082813181.0,,-23082813181.0,23082813181.0,,-23082813181.0
- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),- Công ty Cổ phần Đầu tư Sài Gòn VRG (1),SIP,686.816,204.944.640.000,-,686.816,109.561.600.000,-,,686816.0,204944640000.0,,686816.0,109561600000.0,
- Công ty Cổ phần Thép tấm Miền Nam (2),- Công ty Cổ phần Thép tấm Miền Nam (2),- Công ty Cổ phần Thép tấm Miền Nam (2),,-,,-,-,,-,,,,,,,
- Công ty Cổ phần Thép Hưng Thịnh (2),- Công ty Cổ phần Thép Hưng Thịnh (2),- Công ty Cổ phần Thép Hưng Thịnh (2),,-,,-,-,,-,,,,,,,
- Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,- Công ty Cổ phần Thép Hưng Thịnh (2) > - Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,- Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,,-,,-,23.439.624.115,,-,,,,,23439624115.0,,
,,,,203.111.202.124,,(29.804.317.471),226.550.826.239,,(36.346.670.682),,203111202124.0,,-29804317471.0,226550826239.0,,-36346670682.0
