row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2023,01/01/2023(Trình bày lại),numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2023,numeric__01/01/2023(Trình bày lại)
,,,,,VND,VND,,,,
200,200,200,B. TÀI SẢN DÀI HẠN,,38.959.612.113.043,39.197.775.454.139,,,38959612113043.0,39197775454139.0
210,210,210,I. Các khoản phải thu dài hạn,,2.760.726.175.490,2.797.029.518.092,,,2760726175490.0,2797029518092.0
215,215,215,1. Phải thu về cho vay dài hạn,7,828.069.819.911,914.620.109.166,,7.0,828069819911.0,914620109166.0
216,216,216,2. Phải thu dài hạn khác,8,2.352.006.871.679,2.353.606.871.679,,8.0,2352006871679.0,2353606871679.0
219,219,219,3. Dự phòng phải thu dài hạn khó đòi,,(419.350.516.100),(471.197.462.753),,,-419350516100.0,-471197462753.0
220,220,220,II. Tài sản cố định,,106.995.315.769,113.448.748.416,,,106995315769.0,113448748416.0
221,221,221,1. Tài sản cố định hữu hình,11,95.641.230.375,101.858.996.358,,11.0,95641230375.0,101858996358.0
222,222,222,- Nguyên giá,,260.604.388.371,260.251.569.024,,,260604388371.0,260251569024.0
223,223,223,- Giá trị hao mòn luỹ kế,,(164.963.157.996),(158.392.572.666),,,-164963157996.0,-158392572666.0
227,227,227,2. Tài sản cố định vô hình,12,11.354.085.394,11.589.752.058,,12.0,11354085394.0,11589752058.0
228,228,228,- Nguyên giá,,21.331.140.870,21.331.140.870,,,21331140870.0,21331140870.0
229,229,229,- Giá trị hao mòn luỹ kế,,(9.977.055.476),(9.741.388.812),,,-9977055476.0,-9741388812.0
250,250,250,III. Các khoản đầu tư tài chính dài hạn,4,36.089.508.656.922,36.284.238.512.972,,4.0,36089508656922.0,36284238512972.0
251,251,251,1. Đầu tư vào công ty con,,31.403.255.726.363,31.403.255.726.363,,,31403255726363.0,31403255726363.0
252,252,252,"2. Đầu tư vào công ty liên doanh, liên kết",,5.749.855.610.109,5.726.415.986.994,,,5749855610109.0,5726415986994.0
253,253,253,3. Đầu tư góp vốn vào đơn vị khác,,203.111.202.124,226.550.826.239,,,203111202124.0,226550826239.0
254,254,254,4. Dự phòng giảm giá đầu tư tài chính dài hạn,,(1.266.713.881.674),(1.071.984.026.624),,,-1266713881674.0,-1071984026624.0
260,260,260,IV. Tài sản dài hạn khác,,2.381.964.862,3.058.674.659,,,2381964862.0,3058674659.0
261,261,261,1. Chi phí trả trước dài hạn,,2.381.964.862,3.058.674.659,,,2381964862.0,3058674659.0
270,270,270,TỔNG CỘNG TÀI SẢN,,43.802.463.459.176,43.867.946.228.099,,,43802463459176.0,43867946228099.0
