row_label_raw,row_label_full,col_0,Số lượng,Số lượng_1,numeric__Số lượng,numeric__Số lượng_1
,,,31/12/2023,01/01/2023,,
Cổ phiếu của Công ty CP Đầu tư Sài Gòn VRG,Cổ phiếu của Công ty CP Đầu tư Sài Gòn VRG,Cổ phiếu của Công ty CP Đầu tư Sài Gòn VRG,3.222.296,1.611.148,3222296.0,1611148.0
Cổ phiếu của Công ty CP Khu Công nghiệp Nam Tân Uyên,Cổ phiếu của Công ty CP Khu Công nghiệp Nam Tân Uyên,Cổ phiếu của Công ty CP Khu Công nghiệp Nam Tân Uyên,1.633.500,1.633.500,1633500.0,1633500.0
21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ,21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ,21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ,21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ,21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ,,
,,,Năm 2023,Năm 2022,,
,,,VND,VND,,
Doanh thu bán hàng hoá,21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ > Doanh thu bán hàng hoá,Doanh thu bán hàng hoá,2.160.015.145.084,1.630.451.300.891,2160015145084.0,1630451300891.0
Doanh thu cung cấp dịch vụ,21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,22.745.272.572,23.215.955.205,22745272572.0,23215955205.0
Doanh thu khác.,21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ > Doanh thu khác.,Doanh thu khác.,57.123.281.960,60.304.523.087,57123281960.0,60304523087.0
,,,2.239.883.699.616,1.713.971.779.183,2239883699616.0,1713971779183.0
Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 33),21 . TỔNG DOANH THU BÁN HÀNG VÀ CUNG CẤP ĐỊCH VỤ > Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 33),Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 33),81.479.150.343,87.630.865.694,81479150343.0,87630865694.0
22 . GIÁ VỐN HÀNG BÁN,22 . GIÁ VỐN HÀNG BÁN,22 . GIÁ VỐN HÀNG BÁN,22 . GIÁ VỐN HÀNG BÁN,22 . GIÁ VỐN HÀNG BÁN,,
,,,Năm 2023,Năm 2022,,
,,,VND,VND,,
Giá vốn của hàng hóa đã bán,22 . GIÁ VỐN HÀNG BÁN > Giá vốn của hàng hóa đã bán,Giá vốn của hàng hóa đã bán,2.144.229.435.976,1.621.449.243.880,2144229435976.0,1621449243880.0
Giá vốn của dịch vụ đã cung cấp,22 . GIÁ VỐN HÀNG BÁN > Giá vốn của dịch vụ đã cung cấp,Giá vốn của dịch vụ đã cung cấp,3.521.183.301,3.431.820.371,3521183301.0,3431820371.0
Hoàn nhập dự phòng giảm giá hàng tồn kho,22 . GIÁ VỐN HÀNG BÁN > Hoàn nhập dự phòng giảm giá hàng tồn kho,Hoàn nhập dự phòng giảm giá hàng tồn kho,,(127.008.000),,-127008000.0
,,,2.147.750.619.277,1.624.754.056.251,2147750619277.0,1624754056251.0
Trong đó: Mua hàng từ các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 33),22 . GIÁ VỐN HÀNG BÁN > Trong đó: Mua hàng từ các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 33),Trong đó: Mua hàng từ các bên liên quan(Xem thông tin chi tiết tại Thuyết minh 33),2.125.027.968.201,1.629.943.033.273,2125027968201.0,1629943033273.0
23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH,23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH,23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH,23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH,23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,
,,,Năm 2023,Năm 2022(Trình bày lại),,
,,,VND,VND,,
"Lãi tiền gửi, tiền cho vay","23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Lãi tiền gửi, tiền cho vay","Lãi tiền gửi, tiền cho vay",213.120.449.225,144.547.688.589,213120449225.0,144547688589.0
"Cổ tức, lợi nhuận được chia","23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",761.371.139.986,815.441.519.898,761371139986.0,815441519898.0
Lãi chênh lệch tỷ giá do đánh giá lại số dư cuối năm,23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Lãi chênh lệch tỷ giá do đánh giá lại số dư cuối năm,Lãi chênh lệch tỷ giá do đánh giá lại số dư cuối năm,41.982.982,240.798.691,41982982.0,240798691.0
Lãi chênh lệch tỷ giá phát sinh trong năm,23 . DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Lãi chênh lệch tỷ giá phát sinh trong năm,Lãi chênh lệch tỷ giá phát sinh trong năm,4.522.630.721,7.334.764.690,4522630721.0,7334764690.0
