row_label_raw,row_label_full,col_0,col_1,31/12/2023,31/12/2023_1,01/01/2023,01/01/2023_1,numeric__col_1,numeric__31/12/2023,numeric__31/12/2023_1,numeric__01/01/2023,numeric__01/01/2023_1
,,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,,
,,,,VND,VND,VND,VND,,,,,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",,39.076.700,-,23.548.260,-,,39076700.0,,23548260.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",,660.000.000,-,695.200.000,-,,660000000.0,,695200000.0,
Hàng hoá,Hàng hoá,Hàng hoá,,48.050.295.406,-,59.146.349.773,-,,48050295406.0,,59146349773.0,
,,,,48.749.372.106,-,59.865.098.033,-,,48749372106.0,,59865098033.0,
11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,11 . TÀI SẢN CÓ ĐỊNH HỮU HÌNH,,,,,
,,,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,157.774.809.642,4.708.703.255,27.052.253.065,70.715.803.062,260.251.569.024,157774809642.0,4708703255.0,27052253065.0,70715803062.0,260251569024.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,-,1.013.816.273,234.576.000,1.248.392.273,,,1013816273.0,234576000.0,1248392273.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,(895.572.926),(895.572.926),,,,-895572926.0,-895572926.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,157.774.809.642,4.708.703.255,28.066.069.338,70.054.806.136,260.604.388.371,157774809642.0,4708703255.0,28066069338.0,70054806136.0,260604388371.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,65.557.322.485,4.648.703.249,17.470.743.870,70.715.803.062,158.392.572.666,65557322485.0,4648703249.0,17470743870.0,70715803062.0,158392572666.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,6.024.533.676,39.999.996,1.369.044.584,32.580.000,7.466.158.256,6024533676.0,39999996.0,1369044584.0,32580000.0,7466158256.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,-,(895.572.926),(895.572.926),,,,-895572926.0,-895572926.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,71.581.856.161,4.688.703.245,18.839.788.454,69.852.810.136,164.963.157.996,71581856161.0,4688703245.0,18839788454.0,69852810136.0,164963157996.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,92.217.487.157,60.000.006,9.581.509.195,-,101.858.996.358,92217487157.0,60000006.0,9581509195.0,,101858996358.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,86.192.953.481,20.000.010,9.226.280.884,201.996.000,95.641.230.375,86192953481.0,20000010.0,9226280884.0,201996000.0,95641230375.0
