row_label_raw,row_label_full,col_0,col_1,31/12/2023,01/01/2023(Trình bày lại),numeric__col_1,numeric__31/12/2023,numeric__01/01/2023(Trình bày lại)
,,,,VND,VND,,,
b),b),b),Dài hạn,,,,,
b.1),b.1),b.1),Chi tiết theo nội dung,,,,,
,,,"- Nhận ký quỹ, ký cược dài hạn",3.701.004.057,3.680.996.517,,3701004057.0,3680996517.0
,,,- Nhận ủy thác đầu tư góp vốn vào Công ty CP VRG - Đắk Nông,11.433.721.000,11.433.721.000,,11433721000.0,11433721000.0
,,,,15.134.725.057,15.114.717.517,,15134725057.0,15114717517.0
b.2),b.2),b.2),Chi tiết theo đối tượng,,,,,
,,,Bên khác,,,,,
,,,- Công ty CP Đầu Tư và Dịch Vụ Sao Kim,3.500.006.517,3.500.006.517,,3500006517.0,3500006517.0
,,,- Các bên khác,11.634.718.540,11.614.711.000,,11634718540.0,11614711000.0
,,,,15.134.725.057,15.114.717.517,,15134725057.0,15114717517.0
