row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.474.678.545,60.387.258.850,62.861.937.395,2474678545.0,60387258850.0,62861937395.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,11.624.393.030,11.624.393.030,,11624393030.0,11624393030.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,2.474.678.545,72.011.651.880,74.486.330.425,2474678545.0,72011651880.0,74486330425.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,
Số đầu năm,Khẩu hao > Số đầu năm,Số đầu năm,931.802.457,54.056.790.483,54.988.592.940,931802457.0,54056790483.0,54988592940.0
Khẩu hao trong năm,Khẩu hao > Khẩu hao trong năm,Khẩu hao trong năm,32.223.003,3.413.148.145,3.445.371.148,32223003.0,3413148145.0,3445371148.0
- Khẩu hao,Khẩu hao > - Khẩu hao,- Khẩu hao,32.223.003,3.399.540.712,3.431.763.715,32223003.0,3399540712.0,3431763715.0
- Sử dụng Quỹ KH&CN,Khẩu hao > - Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,,13.607.433,13.607.433,,13607433.0,13607433.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,964.025.460,57.469.938.628,58.433.964.088,964025460.0,57469938628.0,58433964088.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.542.876.088,6.330.468.367,7.873.344.455,1542876088.0,6330468367.0,7873344455.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.510.653.085,14.541.713.252,16.052.366.337,1510653085.0,14541713252.0,16052366337.0
