row_label_raw,row_label_full,Báo cáo bộ phân theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sửa đậu nành,Sản phẩm Sửa đậu nành_1,Thành Phát,Thành Phát_1,Khác,Khác_1,Loại trừ,Loại trừ_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sửa đậu nành,numeric__Sản phẩm Sửa đậu nành_1,numeric__Thành Phát,numeric__Thành Phát_1,numeric__Khác,numeric__Khác_1,numeric__Loại trừ,numeric__Loại trừ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh,Năm 2023,Năm 2022,Năm 2023,Năm 2022,Năm 2023,Năm 2022,Năm 2023,Năm 2022,Năm 2023,Năm 2022,Năm 2023,Năm 2022,,,,,,,,,,,,
Doanh thu bộ phận,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,4.036.798.413.675,1.972.671.994.636,4.002.769.608.392,4.304.575.061.040,2.434.219.040.500,1.582.323.665.189,1.707.841.382.931,1.704.243.625.410,(2.160.393.181.299),(1.308.810.666.453),10.021.235.264.199,8.255.003.679.822,4036798413675.0,1972671994636.0,4002769608392.0,4304575061040.0,2434219040500.0,1582323665189.0,1707841382931.0,1704243625410.0,-2160393181299.0,-1308810666453.0,10021235264199.0,8255003679822.0
Giá vốn bộ phận,Báo cáo bộ phân theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,2.780.400.608.753,1.597.910.424.195,2.359.956.789.086,2.552.542.240.898,2.394.770.912.457,1.543.640.661.296,1.283.204.045.788,1.398.031.977.106,(2.147.939.721.304),(1.296.047.295.403),6.670.392.634.780,5.796.078.008.092,2780400608753.0,1597910424195.0,2359956789086.0,2552542240898.0,2394770912457.0,1543640661296.0,1283204045788.0,1398031977106.0,-2147939721304.0,-1296047295403.0,6670392634780.0,5796078008092.0
Lợi nhuận gộp,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,1.256.397.804.922,374.761.570.441,1.642.812.819.306,1.752.032.820.142,39.448.128.043,38.683.003.893,424.637.337.143,306.211.648.304,(12.453.459.995),(12.763.371.050),3.350.842.629.419,2.458.925.671.730,1256397804922.0,374761570441.0,1642812819306.0,1752032820142.0,39448128043.0,38683003893.0,424637337143.0,306211648304.0,-12453459995.0,-12763371050.0,3350842629419.0,2458925671730.0
Doanh thu hoạt động tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,,,,,340.607.535.831,191.042.786.716,,,,,,,,,,,340607535831.0,191042786716.0
Chi phí tài chính,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,,,,,138.891.494.695,83.722.680.028,,,,,,,,,,,138891494695.0,83722680028.0
Chi phí bán hàng,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,,,,,805.491.960.579,868.297.002.640,,,,,,,,,,,805491960579.0,868297002640.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,,,,,391.346.215.563,232.062.418.660,,,,,,,,,,,391346215563.0,232062418660.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,,,,,2.355.720.494.413,1.465.886.357.118,,,,,,,,,,,2355720494413.0,1465886357118.0
Thu nhập khác,Báo cáo bộ phân theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,,,,,93.995.949.879,43.757.052.420,,,,,,,,,,,93995949879.0,43757052420.0
Chi phí khác,Báo cáo bộ phân theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,,,,,2.868.560.251,4.320.507.909,,,,,,,,,,,2868560251.0,4320507909.0
Lợi nhuận khác,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,,,,,91.127.389.628,39.436.544.511,,,,,,,,,,,91127389628.0,39436544511.0
Lợi nhuận trước thuế,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,,,,2.446.847.884.041,1.505.322.901.629,,,,,,,,,,,2446847884041.0,1505322901629.0
Thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,,,,,263.382.608.594,218.579.316.049,,,,,,,,,,,263382608594.0,218579316049.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phân theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,2.183.465.275.447,1.286.743.585.580,,,,,,,,,,,2183465275447.0,1286743585580.0
