row_label_raw,row_label_full,col_0,31/12/2023,01/01/2023,numeric__31/12/2023,numeric__01/01/2023
Công ty TNHH Thương mại Hoàng Trung - KV2,Công ty TNHH Thương mại Hoàng Trung - KV2,Công ty TNHH Thương mại Hoàng Trung - KV2,71.584.654,30.293.747,71584654.0,30293747.0
Công ty TNHH DVTM TH Ngọc Ảnh,Công ty TNHH DVTM TH Ngọc Ảnh,Công ty TNHH DVTM TH Ngọc Ảnh,445.266.337,463.765.340,445266337.0,463765340.0
Công ty TNHH Bình Huy Hoàng,Công ty TNHH Bình Huy Hoàng,Công ty TNHH Bình Huy Hoàng,453.145.917,405.256.858,453145917.0,405256858.0
Công ty TNHH Cán sắt Thanh Hạnh,Công ty TNHH Cán sắt Thanh Hạnh,Công ty TNHH Cán sắt Thanh Hạnh,-,1.000.000.000,,1000000000.0
Công ty TNHH Thương Mại Lan Sơn,Công ty TNHH Thương Mại Lan Sơn,Công ty TNHH Thương Mại Lan Sơn,641.073.750,436.020.425,641073750.0,436020425.0
Công ty TNHH Thương mại Và Dịch vụ Thắng Thủy,Công ty TNHH Thương mại Và Dịch vụ Thắng Thủy,Công ty TNHH Thương mại Và Dịch vụ Thắng Thủy,63.721.101,171.561.494,63721101.0,171561494.0
Công ty TNHH Vận tải Việt Chiến,Công ty TNHH Vận tải Việt Chiến,Công ty TNHH Vận tải Việt Chiến,73.211.007,579.822.802,73211007.0,579822802.0
"Wala Wang investment Co., Ltd","Wala Wang investment Co., Ltd","Wala Wang investment Co., Ltd",86.656.357,2.423.788.989,86656357.0,2423788989.0
CKL Food Industries Pte Ltd,CKL Food Industries Pte Ltd,CKL Food Industries Pte Ltd,4.269.047.506,4.249.796.824,4269047506.0,4249796824.0
"Fujiura Ltd, ( Fujiura )","Fujiura Ltd, ( Fujiura )","Fujiura Ltd, ( Fujiura )",3.803.687.240,-,3803687240.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,25.625.032.335,22.228.234.743,25625032335.0,22228234743.0
Cộng,Cộng,Cộng,35.532.426.204,31.988.541.222,35532426204.0,31988541222.0
