row_label_raw,row_label_full,31/12/2023,Tài sản của bộ phận > Nguyên giá TSCĐ HH,Tài sản của bộ phận > Hao mòn lũy kế,Tài sản của bộ phận > Nợ phải thu,Tài sản của bộ phận > Tổng tài sản,Tài sản của bộ phận > Nợ phải trả,Khấu hao TSCĐ Năm 2023,numeric__Tài sản của bộ phận > Nguyên giá TSCĐ HH,numeric__Tài sản của bộ phận > Hao mòn lũy kế,numeric__Tài sản của bộ phận > Nợ phải thu,numeric__Tài sản của bộ phận > Tổng tài sản,numeric__Tài sản của bộ phận > Nợ phải trả,numeric__Khấu hao TSCĐ Năm 2023
Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.714.930.538.073,(1.885.360.525.937),409.514.989.748,2.504.949.114.986,165.543.576.530,219.267.312.886,3714930538073.0,-1885360525937.0,409514989748.0,2504949114986.0,165543576530.0,219267312886.0
Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.163.783.924.889,(1.822.349.155.176),96.922.592.379,989.005.768.060,168.360.214.580,80.260.339.896,2163783924889.0,-1822349155176.0,96922592379.0,989005768060.0,168360214580.0,80260339896.0
Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.733.593.085,(2.588.033.572),175.287.437.837,1.011.552.806.106,16.591.637.850,44.799.818,2733593085.0,-2588033572.0,175287437837.0,1011552806106.0,16591637850.0,44799818.0
Hoạt động SXKD khác,Hoạt động SXKD khác,Hoạt động SXKD khác,3.322.869.305.262,(1.843.802.515.578),155.254.463.009,9.356.671.796.233,3.296.565.039.598,140.435.399.473,3322869305262.0,-1843802515578.0,155254463009.0,9356671796233.0,3296565039598.0,140435399473.0
,,,9.204.317.361.309,(5.554.100.230.263),836.979.482.973,13.862.179.485.385,3.647.060.468.558,440.007.852.073,9204317361309.0,-5554100230263.0,836979482973.0,13862179485385.0,3647060468558.0,440007852073.0
Các khoản loại trừ,Các khoản loại trừ,Các khoản loại trừ,-,-,(174.854.480.690),(1.809.414.958.682),(174.854.480.690),-,,,-174854480690.0,-1809414958682.0,-174854480690.0,
Tổng cộng,Tổng cộng,Tổng cộng,9.204.317.361.309,(5.554.100.230.263),662.125.002.283,12.052.764.526.703,3.472.205.987.868,440.007.852.073,9204317361309.0,-5554100230263.0,662125002283.0,12052764526703.0,3472205987868.0,440007852073.0
,,,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,,,,,,,
01/01/2023,01/01/2023,01/01/2023,Nguyên giá TSCĐ HH,Hao mòn lũy kế,Nợ phải thu,Tổng tài sản,Nợ phải trả,Khấu hao TSCĐ Năm 2022,,,,,,
Hoạt động SXKD sản phẩm Đường,01/01/2023 > Hoạt động SXKD sản phẩm Đường,Hoạt động SXKD sản phẩm Đường,3.682.654.401.617,(1.675.938.341.507),391.795.284.492,2.748.032.113.881,118.271.000.914,217.128.616.155,3682654401617.0,-1675938341507.0,391795284492.0,2748032113881.0,118271000914.0,217128616155.0
Hoạt động SXKD sản phẩm Sữa đậu nành,01/01/2023 > Hoạt động SXKD sản phẩm Sữa đậu nành,Hoạt động SXKD sản phẩm Sữa đậu nành,2.083.135.588.367,(1.752.374.563.181),70.153.971.204,890.797.413.326,181.025.581.868,91.579.656.068,2083135588367.0,-1752374563181.0,70153971204.0,890797413326.0,181025581868.0,91579656068.0
Công ty TNHH MTV Thương mại Thành Phát,01/01/2023 > Công ty TNHH MTV Thương mại Thành Phát,Công ty TNHH MTV Thương mại Thành Phát,2.733.593.085,(2.543.233.754),146.633.730.096,984.609.486.760,17.487.168.134,60.188.399,2733593085.0,-2543233754.0,146633730096.0,984609486760.0,17487168134.0,60188399.0
Hoạt động SXKD khác,01/01/2023 > Hoạt động SXKD khác,Hoạt động SXKD khác,3.285.699.891.742,(1.717.712.998.697),125.285.636.741,7.424.112.840.946,2.631.004.428.719,175.327.981.814,3285699891742.0,-1717712998697.0,125285636741.0,7424112840946.0,2631004428719.0,175327981814.0
,,,9.054.223.474.811,(5.148.569.137.139),733.868.622.533,12.047.551.854.913,2.947.788.179.635,484.096.442.436,9054223474811.0,-5148569137139.0,733868622533.0,12047551854913.0,2947788179635.0,484096442436.0
Các khoản loại trừ,01/01/2023 > Các khoản loại trừ,Các khoản loại trừ,-,-,(146.203.414.864),(1.781.087.665.898),(146.203.414.864),-,,,-146203414864.0,-1781087665898.0,-146203414864.0,
Tổng cộng,01/01/2023 > Tổng cộng,Tổng cộng,9.054.223.474.811,(5.148.569.137.139),587.665.207.669,10.266.464.189.015,2.801.584.764.771,484.096.442.436,9054223474811.0,-5148569137139.0,587665207669.0,10266464189015.0,2801584764771.0,484096442436.0
