row_label_raw,row_label_full,31/12/2023,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,456.319.808.742,-,456.319.808.742,456319808742.0,,456319808742.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,3.339.377.086,-,3.339.377.086,3339377086.0,,3339377086.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.411.316.232.933,-,2.411.316.232.933,2411316232933.0,,2411316232933.0
Phải trả khác,Phải trả khác,Phải trả khác,41.125.681.831,8.251.004.364,49.376.686.195,41125681831.0,8251004364.0,49376686195.0
Cộng,Cộng,Cộng,2.912.101.100.592,8.251.004.364,2.920.352.104.956,2912101100592.0,8251004364.0,2920352104956.0
01/01/2023,01/01/2023,01/01/2023,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2023 > Phải trả người bán,Phải trả người bán,478.927.718.394,-,478.927.718.394,478927718394.0,,478927718394.0
Chỉ phí phải trả,01/01/2023 > Chỉ phí phải trả,Chỉ phí phải trả,3.649.251.624,-,3.649.251.624,3649251624.0,,3649251624.0
Vay và nợ thuê tài chính,01/01/2023 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,1.895.895.232.086,-,1.895.895.232.086,1895895232086.0,,1895895232086.0
Phải trả khác,01/01/2023 > Phải trả khác,Phải trả khác,41.389.384.317,10.510.373.364,51.899.757.681,41389384317.0,10510373364.0,51899757681.0
Cộng,01/01/2023 > Cộng,Cộng,2.419.861.586.421,10.510.373.364,2.430.371.959.785,2419861586421.0,10510373364.0,2430371959785.0
